stim_idx,stimulus_num,stimulus_name,valence_score,arousal_score,v_quartile,a_quartile,a_label
213,214,stimulus_214,2.8889,4.8889,0,0,0
214,215,stimulus_215,7.0,6.4444,3,3,1
216,217,stimulus_217,7.2222,6.5556,3,3,1
218,219,stimulus_219,8.3333,7.3333,3,3,1
219,220,stimulus_220,6.5556,7.0,2,3,1
221,222,stimulus_222,2.5556,6.5556,0,3,1
222,223,stimulus_223,2.8889,6.7778,0,3,1
224,225,stimulus_225,3.2222,3.4444,0,0,0
225,226,stimulus_226,1.3333,4.8889,0,0,0
227,228,stimulus_228,7.8889,7.7778,3,3,1
228,229,stimulus_229,5.6667,7.1111,2,3,1
229,230,stimulus_230,7.4444,7.5556,3,3,1
230,231,stimulus_231,3.8889,6.4444,1,3,1
231,232,stimulus_232,7.3333,6.7778,3,3,1
232,233,stimulus_233,5.2222,6.7778,1,3,1
233,234,stimulus_234,2.0,7.7778,0,3,1
235,236,stimulus_236,1.5556,4.5556,0,0,0
236,237,stimulus_237,7.3333,7.1111,3,3,1
237,238,stimulus_238,1.1111,6.4444,0,3,1
238,239,stimulus_239,4.5556,7.1111,1,3,1
247,248,stimulus_248,5.8889,6.4444,2,3,1
250,251,stimulus_251,7.0,7.0,3,3,1
252,253,stimulus_253,7.2222,7.0,3,3,1
254,255,stimulus_255,7.0,4.7778,3,0,0
255,256,stimulus_256,7.4444,6.8889,3,3,1
257,258,stimulus_258,7.7778,6.7778,3,3,1
258,259,stimulus_259,1.8889,6.6667,0,3,1
259,260,stimulus_260,6.8889,6.6667,3,3,1
260,261,stimulus_261,7.0,6.4444,3,3,1
261,262,stimulus_262,4.5556,6.6667,1,3,1
262,263,stimulus_263,6.4444,4.6667,2,0,0
263,264,stimulus_264,7.1111,6.6667,3,3,1
265,266,stimulus_266,1.2222,7.4444,0,3,1
267,268,stimulus_268,2.8889,4.0,0,0,0
268,269,stimulus_269,3.5556,7.7778,0,3,1
269,270,stimulus_270,5.2222,6.7778,1,3,1
270,271,stimulus_271,1.3333,6.4444,0,3,1
272,273,stimulus_273,7.4444,6.5556,3,3,1
273,274,stimulus_274,7.2222,5.0,3,0,0
274,275,stimulus_275,7.4444,6.7778,3,3,1
277,278,stimulus_278,2.3333,4.8889,0,0,0
278,279,stimulus_279,2.0,4.7778,0,0,0
279,280,stimulus_280,6.5556,7.2222,2,3,1
280,281,stimulus_281,6.4444,6.5556,2,3,1
281,282,stimulus_282,4.1111,5.1111,1,0,0
284,285,stimulus_285,4.3333,4.0,1,0,0
286,287,stimulus_287,6.5556,6.8889,2,3,1
287,288,stimulus_288,1.3333,2.7778,0,0,0
288,289,stimulus_289,7.8889,6.8889,3,3,1
289,290,stimulus_290,6.1111,4.3333,2,0,0
290,291,stimulus_291,7.7778,6.6667,3,3,1
294,295,stimulus_295,7.7778,6.7778,3,3,1
297,298,stimulus_298,6.4444,4.5556,2,0,0
298,299,stimulus_299,2.4444,5.1111,0,0,0
299,300,stimulus_300,4.7778,4.7778,1,0,0
301,302,stimulus_302,6.6667,6.6667,2,3,1
304,305,stimulus_305,6.1111,5.1111,2,0,0
305,306,stimulus_306,2.2222,4.7778,0,0,0
307,308,stimulus_308,2.4444,6.7778,0,3,1
308,309,stimulus_309,6.2222,6.5556,2,3,1
315,316,stimulus_316,2.7778,7.5556,0,3,1
316,317,stimulus_317,6.8889,6.4444,3,3,1
319,320,stimulus_320,7.3333,7.4444,3,3,1
320,321,stimulus_321,7.8889,6.7778,3,3,1
323,324,stimulus_324,4.0,7.0,1,3,1
324,325,stimulus_325,7.3333,6.6667,3,3,1
325,326,stimulus_326,3.8889,4.6667,1,0,0
326,327,stimulus_327,5.8889,6.6667,2,3,1
327,328,stimulus_328,7.7778,6.5556,3,3,1
329,330,stimulus_330,6.3333,6.6667,2,3,1
334,335,stimulus_335,2.8889,4.2222,0,0,0
335,336,stimulus_336,5.8889,6.4444,2,3,1
336,337,stimulus_337,6.7778,7.3333,3,3,1
337,338,stimulus_338,3.6667,6.4444,1,3,1
338,339,stimulus_339,7.2222,4.1111,3,0,0
339,340,stimulus_340,5.1111,5.1111,1,0,0
343,344,stimulus_344,7.5556,4.8889,3,0,0
346,347,stimulus_347,6.5556,6.4444,2,3,1
347,348,stimulus_348,7.8889,4.4444,3,0,0
348,349,stimulus_349,6.3333,6.5556,2,3,1
349,350,stimulus_350,5.4444,4.6667,1,0,0
350,351,stimulus_351,3.6667,4.3333,1,0,0
352,353,stimulus_353,8.1111,7.3333,3,3,1
353,354,stimulus_354,7.8889,4.6667,3,0,0
354,355,stimulus_355,1.3333,6.5556,0,3,1
357,358,stimulus_358,7.2222,6.5556,3,3,1
359,360,stimulus_360,6.4444,5.0,2,0,0
360,361,stimulus_361,5.7778,5.1111,2,0,0
367,368,stimulus_368,5.7778,4.8889,2,0,0
370,371,stimulus_371,3.8889,5.1111,1,0,0
374,375,stimulus_375,5.1111,6.7778,1,3,1
377,378,stimulus_378,5.3333,5.1111,1,0,0
379,380,stimulus_380,6.7778,6.4444,3,3,1
381,382,stimulus_382,3.7778,4.5556,1,0,0
384,385,stimulus_385,4.3333,7.4444,1,3,1
385,386,stimulus_386,6.1111,5.1111,2,0,0
388,389,stimulus_389,2.1111,7.1111,0,3,1
389,390,stimulus_390,5.3333,4.2222,1,0,0
390,391,stimulus_391,7.6667,6.7778,3,3,1
392,393,stimulus_393,2.7778,4.8889,0,0,0
394,395,stimulus_395,3.7778,7.0,1,3,1
396,397,stimulus_397,6.3333,4.2222,2,0,0
397,398,stimulus_398,4.3333,5.0,1,0,0
398,399,stimulus_399,6.6667,4.1111,2,0,0
402,403,stimulus_403,7.5556,4.5556,3,0,0
404,405,stimulus_405,6.7778,5.0,3,0,0
405,406,stimulus_406,1.5556,4.5556,0,0,0
406,407,stimulus_407,6.0,5.0,2,0,0
408,409,stimulus_409,7.0,7.2222,3,3,1
409,410,stimulus_410,6.7778,4.5556,3,0,0
410,411,stimulus_411,7.2222,6.5556,3,3,1
412,413,stimulus_413,6.7778,3.8889,3,0,0
413,414,stimulus_414,2.0,4.6667,0,0,0
414,415,stimulus_415,6.4444,4.8889,2,0,0
416,417,stimulus_417,2.1111,6.7778,0,3,1
417,418,stimulus_418,7.4444,3.8889,3,0,0
418,419,stimulus_419,5.3333,6.8889,1,3,1
420,421,stimulus_421,7.3333,3.1111,3,0,0
421,422,stimulus_422,2.2222,6.6667,0,3,1
425,426,stimulus_426,8.1111,6.8889,3,3,1
428,429,stimulus_429,7.4444,6.4444,3,3,1
429,430,stimulus_430,6.0,6.6667,2,3,1
430,431,stimulus_431,6.7778,6.4444,3,3,1
431,432,stimulus_432,7.0,6.4444,3,3,1
432,433,stimulus_433,6.2222,6.4444,2,3,1
437,438,stimulus_438,6.8889,5.0,3,0,0
439,440,stimulus_440,4.8889,4.8889,1,0,0
440,441,stimulus_441,1.4444,3.1111,0,0,0
441,442,stimulus_442,5.3333,6.5556,1,3,1
444,445,stimulus_445,7.5556,6.5556,3,3,1
447,448,stimulus_448,5.0,6.6667,1,3,1
450,451,stimulus_451,2.2222,6.6667,0,3,1
451,452,stimulus_452,7.1111,7.0,3,3,1
452,453,stimulus_453,4.8889,4.7778,1,0,0
454,455,stimulus_455,4.1111,4.3333,1,0,0
457,458,stimulus_458,8.3333,6.8889,3,3,1
459,460,stimulus_460,2.7778,6.5556,0,3,1
460,461,stimulus_461,1.6667,6.4444,0,3,1
463,464,stimulus_464,1.6667,5.1111,0,0,0
464,465,stimulus_465,7.4444,8.0,3,3,1
468,469,stimulus_469,6.6667,7.0,2,3,1
473,474,stimulus_474,1.2222,6.6667,0,3,1
475,476,stimulus_476,6.4444,7.1111,2,3,1
477,478,stimulus_478,6.3333,7.2222,2,3,1
479,480,stimulus_480,8.6667,7.0,3,3,1
486,487,stimulus_487,6.6667,6.5556,2,3,1
487,488,stimulus_488,5.1111,5.0,1,0,0
488,489,stimulus_489,2.0,6.8889,0,3,1
491,492,stimulus_492,3.0,4.7778,0,0,0
494,495,stimulus_495,3.1111,4.5556,0,0,0
499,500,stimulus_500,4.0,6.7778,1,3,1
500,501,stimulus_501,7.1111,7.0,3,3,1
502,503,stimulus_503,6.5556,6.4444,2,3,1
503,504,stimulus_504,3.8889,6.4444,1,3,1
505,506,stimulus_506,6.3333,6.4444,2,3,1
507,508,stimulus_508,4.5556,5.0,1,0,0
509,510,stimulus_510,3.6667,5.0,1,0,0
510,511,stimulus_511,6.7778,6.6667,3,3,1
511,512,stimulus_512,1.7778,4.6667,0,0,0
512,513,stimulus_513,2.6667,5.0,0,0,0
513,514,stimulus_514,1.6667,5.1111,0,0,0
515,516,stimulus_516,6.7778,7.0,3,3,1
516,517,stimulus_517,4.0,7.0,1,3,1
517,518,stimulus_518,7.2222,5.0,3,0,0
518,519,stimulus_519,8.1111,4.5556,3,0,0
521,522,stimulus_522,2.2222,6.4444,0,3,1
522,523,stimulus_523,4.2222,4.2222,1,0,0
523,524,stimulus_524,1.3333,6.8889,0,3,1
526,527,stimulus_527,6.5556,4.8889,2,0,0
527,528,stimulus_528,6.7778,4.2222,3,0,0
528,529,stimulus_529,1.2222,5.1111,0,0,0
531,532,stimulus_532,2.1111,5.0,0,0,0
532,533,stimulus_533,5.5556,6.7778,1,3,1
533,534,stimulus_534,8.0,6.5556,3,3,1
535,536,stimulus_536,2.7778,6.6667,0,3,1
538,539,stimulus_539,7.8889,7.7778,3,3,1
539,540,stimulus_540,7.4444,6.8889,3,3,1
541,542,stimulus_542,6.3333,5.1111,2,0,0
545,546,stimulus_546,6.6667,7.0,2,3,1
549,550,stimulus_550,6.1111,7.8889,2,3,1
550,551,stimulus_551,1.4444,3.6667,0,0,0
551,552,stimulus_552,4.1111,4.5556,1,0,0
553,554,stimulus_554,2.3333,5.1111,0,0,0
554,555,stimulus_555,6.7778,6.6667,3,3,1
555,556,stimulus_556,5.4444,5.1111,1,0,0
557,558,stimulus_558,3.1111,6.4444,0,3,1
562,563,stimulus_563,3.5556,5.1111,0,0,0
563,564,stimulus_564,2.6667,4.3333,0,0,0
566,567,stimulus_567,6.1111,6.7778,2,3,1
567,568,stimulus_568,3.7778,6.7778,1,3,1
568,569,stimulus_569,5.5556,4.8889,1,0,0
569,570,stimulus_570,7.4444,6.7778,3,3,1
573,574,stimulus_574,8.3333,7.1111,3,3,1
575,576,stimulus_576,7.6667,6.7778,3,3,1
576,577,stimulus_577,7.4444,4.4444,3,0,0
580,581,stimulus_581,5.7778,4.7778,2,0,0
581,582,stimulus_582,4.6667,5.0,1,0,0
583,584,stimulus_584,7.5556,4.6667,3,0,0
585,586,stimulus_586,5.4444,4.8889,1,0,0
588,589,stimulus_589,4.0,6.8889,1,3,1
589,590,stimulus_590,7.2222,4.2222,3,0,0
594,595,stimulus_595,1.8889,6.8889,0,3,1
595,596,stimulus_596,2.2222,3.4444,0,0,0
596,597,stimulus_597,8.6667,6.6667,3,3,1
597,598,stimulus_598,3.8889,7.3333,1,3,1
598,599,stimulus_599,4.1111,6.5556,1,3,1
599,600,stimulus_600,3.7778,5.1111,1,0,0
602,603,stimulus_603,3.6667,7.1111,1,3,1
603,604,stimulus_604,2.5556,7.0,0,3,1
605,606,stimulus_606,1.2222,7.0,0,3,1
608,609,stimulus_609,6.7778,6.8889,3,3,1
609,610,stimulus_610,3.7778,4.4444,1,0,0
611,612,stimulus_612,5.7778,6.5556,2,3,1
619,620,stimulus_620,6.5556,5.1111,2,0,0
621,622,stimulus_622,5.7778,5.1111,2,0,0
625,626,stimulus_626,6.3333,6.6667,2,3,1
626,627,stimulus_627,8.3333,6.8889,3,3,1
627,628,stimulus_628,7.2222,4.2222,3,0,0
629,630,stimulus_630,7.5556,6.4444,3,3,1
635,636,stimulus_636,6.4444,4.5556,2,0,0
640,641,stimulus_641,7.2222,6.6667,3,3,1
641,642,stimulus_642,6.4444,7.1111,2,3,1
643,644,stimulus_644,1.2222,5.1111,0,0,0
644,645,stimulus_645,7.6667,6.7778,3,3,1
645,646,stimulus_646,1.1111,6.5556,0,3,1
646,647,stimulus_647,1.2222,7.1111,0,3,1
647,648,stimulus_648,5.6667,8.0,2,3,1
648,649,stimulus_649,6.0,6.5556,2,3,1
651,652,stimulus_652,2.2222,4.7778,0,0,0
654,655,stimulus_655,5.6667,7.6667,2,3,1
657,658,stimulus_658,4.1111,5.0,1,0,0
661,662,stimulus_662,6.7778,6.5556,3,3,1
664,665,stimulus_665,4.5556,5.1111,1,0,0
666,667,stimulus_667,1.4444,4.8889,0,0,0
667,668,stimulus_668,3.5556,5.1111,0,0,0
670,671,stimulus_671,6.6667,4.8889,2,0,0
672,673,stimulus_673,2.6667,5.0,0,0,0
673,674,stimulus_674,1.5556,6.7778,0,3,1
674,675,stimulus_675,6.6667,6.7778,2,3,1
675,676,stimulus_676,7.3333,7.4444,3,3,1
678,679,stimulus_679,4.0,4.5556,1,0,0
685,686,stimulus_686,5.0,6.5556,1,3,1
687,688,stimulus_688,7.6667,6.5556,3,3,1
689,690,stimulus_690,2.7778,6.7778,0,3,1
690,691,stimulus_691,6.3333,4.6667,2,0,0
691,692,stimulus_692,3.7778,4.1111,1,0,0
692,693,stimulus_693,3.5556,4.0,0,0,0
693,694,stimulus_694,3.7778,4.7778,1,0,0
694,695,stimulus_695,3.8889,3.5556,1,0,0
695,696,stimulus_696,4.4444,4.4444,1,0,0
696,697,stimulus_697,4.7778,5.1111,1,0,0
697,698,stimulus_698,3.5556,6.7778,0,3,1
699,700,stimulus_700,3.6667,5.0,1,0,0
700,701,stimulus_701,6.0,7.8889,2,3,1
702,703,stimulus_703,4.0,4.1111,1,0,0
703,704,stimulus_704,5.7778,4.0,2,0,0
705,706,stimulus_706,2.3333,6.5556,0,3,1
706,707,stimulus_707,2.7778,3.7778,0,0,0
708,709,stimulus_709,6.5556,7.5556,2,3,1
709,710,stimulus_710,5.7778,3.2222,2,0,0
711,712,stimulus_712,6.7778,6.7778,3,3,1
712,713,stimulus_713,1.7778,4.0,0,0,0
714,715,stimulus_715,7.1111,4.8889,3,0,0
715,716,stimulus_716,4.8889,4.7778,1,0,0
717,718,stimulus_718,5.8889,3.0,2,0,0
718,719,stimulus_719,3.3333,7.0,0,3,1
722,723,stimulus_723,4.2222,5.1111,1,0,0
725,726,stimulus_726,5.3333,4.0,1,0,0
727,728,stimulus_728,5.6667,4.4444,2,0,0
728,729,stimulus_729,4.5556,4.2222,1,0,0
731,732,stimulus_732,6.2222,6.6667,2,3,1
734,735,stimulus_735,5.5556,5.0,1,0,0
739,740,stimulus_740,5.2222,4.2222,1,0,0
742,743,stimulus_743,7.1111,5.0,3,0,0
744,745,stimulus_745,6.8889,7.0,3,3,1
746,747,stimulus_747,4.7778,5.1111,1,0,0
747,748,stimulus_748,4.0,4.8889,1,0,0
748,749,stimulus_749,8.0,8.4444,3,3,1
749,750,stimulus_750,1.0,7.2222,0,3,1
751,752,stimulus_752,5.5556,4.1111,1,0,0
752,753,stimulus_753,8.1111,8.1111,3,3,1
757,758,stimulus_758,3.7778,3.6667,1,0,0
762,763,stimulus_763,5.7778,4.0,2,0,0
763,764,stimulus_764,4.1111,6.5556,1,3,1
771,772,stimulus_772,7.6667,7.3333,3,3,1
773,774,stimulus_774,5.6667,6.5556,2,3,1
775,776,stimulus_776,1.8889,6.5556,0,3,1
776,777,stimulus_777,1.1111,6.8889,0,3,1
778,779,stimulus_779,7.0,4.1111,3,0,0
780,781,stimulus_781,1.6667,4.5556,0,0,0
781,782,stimulus_782,4.0,6.8889,1,3,1
784,785,stimulus_785,6.3333,7.2222,2,3,1
785,786,stimulus_786,7.6667,5.0,3,0,0
787,788,stimulus_788,7.7778,6.4444,3,3,1
789,790,stimulus_790,1.2222,6.5556,0,3,1
790,791,stimulus_791,4.1111,4.8889,1,0,0
792,793,stimulus_793,3.7778,5.1111,1,0,0
795,796,stimulus_796,6.3333,6.5556,2,3,1
797,798,stimulus_798,7.8889,7.4444,3,3,1
802,803,stimulus_803,3.3333,4.1111,0,0,0
803,804,stimulus_804,2.1111,4.2222,0,0,0
805,806,stimulus_806,4.8889,4.7778,1,0,0
807,808,stimulus_808,3.1111,7.0,0,3,1
808,809,stimulus_809,3.1111,4.5556,0,0,0
809,810,stimulus_810,4.5556,5.1111,1,0,0
814,815,stimulus_815,5.3333,3.5556,1,0,0
816,817,stimulus_817,6.1111,6.4444,2,3,1
817,818,stimulus_818,5.0,5.0,1,0,0
818,819,stimulus_819,5.3333,7.0,1,3,1
819,820,stimulus_820,8.4444,7.2222,3,3,1
820,821,stimulus_821,2.5556,4.2222,0,0,0
821,822,stimulus_822,5.7778,6.5556,2,3,1
824,825,stimulus_825,6.3333,6.4444,2,3,1
825,826,stimulus_826,1.7778,3.8889,0,0,0
827,828,stimulus_828,7.5556,6.8889,3,3,1
831,832,stimulus_832,6.7778,7.2222,3,3,1
832,833,stimulus_833,5.8889,6.4444,2,3,1
835,836,stimulus_836,1.1111,4.3333,0,0,0
837,838,stimulus_838,7.3333,6.4444,3,3,1
839,840,stimulus_840,6.8889,6.8889,3,3,1
840,841,stimulus_841,2.1111,4.8889,0,0,0
841,842,stimulus_842,7.2222,7.4444,3,3,1
844,845,stimulus_845,3.3333,7.1111,0,3,1
848,849,stimulus_849,2.5556,3.7778,0,0,0
849,850,stimulus_850,2.8889,3.2222,0,0,0
851,852,stimulus_852,6.4444,7.5556,2,3,1
856,857,stimulus_857,2.2222,4.5556,0,0,0
859,860,stimulus_860,3.6667,5.0,1,0,0
862,863,stimulus_863,3.1111,4.7778,0,0,0
863,864,stimulus_864,5.8889,4.7778,2,0,0
865,866,stimulus_866,1.0,7.1111,0,3,1
866,867,stimulus_867,5.3333,3.7778,1,0,0
868,869,stimulus_869,2.1111,7.3333,0,3,1
869,870,stimulus_870,5.7778,4.6667,2,0,0
870,871,stimulus_871,4.6667,7.1111,1,3,1
871,872,stimulus_872,4.3333,4.4444,1,0,0
872,873,stimulus_873,5.2222,4.1111,1,0,0
874,875,stimulus_875,6.3333,6.5556,2,3,1
875,876,stimulus_876,1.6667,3.1111,0,0,0
876,877,stimulus_877,1.8889,5.1111,0,0,0
879,880,stimulus_880,6.7778,5.0,3,0,0
886,887,stimulus_887,1.6667,6.7778,0,3,1
887,888,stimulus_888,2.8889,5.1111,0,0,0
889,890,stimulus_890,3.6667,7.2222,1,3,1
890,891,stimulus_891,5.8889,3.8889,2,0,0
896,897,stimulus_897,7.6667,6.5556,3,3,1
898,899,stimulus_899,7.0,7.2222,3,3,1
899,900,stimulus_900,5.3333,7.8889,1,3,1
901,902,stimulus_902,6.6667,5.0,2,0,0
903,904,stimulus_904,6.7778,4.1111,3,0,0
908,909,stimulus_909,3.0,4.8889,0,0,0
909,910,stimulus_910,5.0,4.5556,1,0,0
910,911,stimulus_911,2.3333,4.1111,0,0,0
911,912,stimulus_912,6.5556,4.7778,2,0,0
914,915,stimulus_915,8.0,6.5556,3,3,1
915,916,stimulus_916,6.7778,6.8889,3,3,1
916,917,stimulus_917,5.3333,4.6667,1,0,0
918,919,stimulus_919,7.2222,6.5556,3,3,1
919,920,stimulus_920,6.8889,6.7778,3,3,1
920,921,stimulus_921,7.7778,7.6667,3,3,1
922,923,stimulus_923,8.7778,7.1111,3,3,1
923,924,stimulus_924,4.6667,3.7778,1,0,0
925,926,stimulus_926,2.2222,4.8889,0,0,0
927,928,stimulus_928,6.1111,5.0,2,0,0
929,930,stimulus_930,5.8889,6.8889,2,3,1
931,932,stimulus_932,8.1111,6.8889,3,3,1
932,933,stimulus_933,5.8889,7.0,2,3,1
934,935,stimulus_935,2.1111,7.6667,0,3,1
938,939,stimulus_939,3.6667,3.7778,1,0,0
940,941,stimulus_941,5.3333,6.7778,1,3,1
941,942,stimulus_942,6.0,7.0,2,3,1
942,943,stimulus_943,7.5556,5.0,3,0,0
943,944,stimulus_944,7.0,6.6667,3,3,1
945,946,stimulus_946,6.0,6.5556,2,3,1
946,947,stimulus_947,4.6667,6.4444,1,3,1
948,949,stimulus_949,5.3333,7.4444,1,3,1
952,953,stimulus_953,5.6667,5.0,2,0,0
954,955,stimulus_955,3.0,5.0,0,0,0
955,956,stimulus_956,2.7778,3.3333,0,0,0
960,961,stimulus_961,7.6667,6.7778,3,3,1
961,962,stimulus_962,3.2222,7.1111,0,3,1
962,963,stimulus_963,7.7778,6.6667,3,3,1
963,964,stimulus_964,7.0,6.6667,3,3,1
964,965,stimulus_965,1.7778,6.4444,0,3,1
967,968,stimulus_968,2.5556,4.7778,0,0,0
969,970,stimulus_970,6.0,6.5556,2,3,1
970,971,stimulus_971,1.6667,6.8889,0,3,1
971,972,stimulus_972,8.1111,6.5556,3,3,1
972,973,stimulus_973,2.8889,6.7778,0,3,1
973,974,stimulus_974,6.6667,6.6667,2,3,1
974,975,stimulus_975,3.2222,5.1111,0,0,0
975,976,stimulus_976,3.8889,6.4444,1,3,1
979,980,stimulus_980,6.8889,6.6667,3,3,1
981,982,stimulus_982,7.1111,7.0,3,3,1
984,985,stimulus_985,4.7778,7.0,1,3,1
985,986,stimulus_986,4.1111,7.2222,1,3,1
988,989,stimulus_989,3.2222,4.0,0,0,0
990,991,stimulus_991,1.0,3.6667,0,0,0
991,992,stimulus_992,8.2222,7.2222,3,3,1
994,995,stimulus_995,6.0,5.0,2,0,0
995,996,stimulus_996,7.6667,7.1111,3,3,1
996,997,stimulus_997,8.3333,8.6667,3,3,1
997,998,stimulus_998,6.1111,4.8889,2,0,0
998,999,stimulus_999,2.7778,2.8889,0,0,0
1002,1003,stimulus_1003,5.8889,4.0,2,0,0
1003,1004,stimulus_1004,1.5556,4.5556,0,0,0
1006,1007,stimulus_1007,7.7778,6.5556,3,3,1
1007,1008,stimulus_1008,7.2222,8.5556,3,3,1
1009,1010,stimulus_1010,3.7778,5.1111,1,0,0
1013,1014,stimulus_1014,2.0,7.0,0,3,1
1015,1016,stimulus_1016,8.0,3.5556,3,0,0
1017,1018,stimulus_1018,6.7778,4.4444,3,0,0
1019,1020,stimulus_1020,5.2222,6.4444,1,3,1
1021,1022,stimulus_1022,6.5556,4.3333,2,0,0
1023,1024,stimulus_1024,4.7778,4.5556,1,0,0
1037,1038,stimulus_1038,7.3333,7.8889,3,3,1
1038,1039,stimulus_1039,6.5556,6.5556,2,3,1
1039,1040,stimulus_1040,6.2222,6.7778,2,3,1
1041,1042,stimulus_1042,2.3333,6.6667,0,3,1
1042,1043,stimulus_1043,7.5556,6.7778,3,3,1
1043,1044,stimulus_1044,2.5556,4.8889,0,0,0
