stim_idx,stim_num_int,stimulus_num,video_path,video_exists,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,score_26,score_27,score_28,score_29,score_30,score_31,score_32,score_33,arousal_score,dominance_score,valence_score,approach_score,attention_score,certainty_score,commitment_score,control_score,effort_score,fairness_score,identity_score,obstruction_score,safety_score,upswing_score
10,11,stimulus_11,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0011.mp4,True,0.16667,0.16667,0.0,0.5,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.083333,0.16667,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.16667,0.0,0.0,6.7778,5.1111,7.6667,6.7778,6.6667,5.3333,5.1111,7.1111,2.0,6.0,4.3333,1.7778,6.2222,6.5556
11,12,stimulus_12,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0012.mp4,True,0.0,0.083333,0.0,0.33333,0.0,0.0,0.083333,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.16667,0.16667,0.16667,0.16667,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.16667,5.2222,6.2222,6.6667,5.6667,6.0,6.2222,5.0,7.0,1.3333,6.2222,7.1111,1.3333,6.4444,5.2222
12,13,stimulus_13,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0013.mp4,True,0.0,0.33333,0.0,0.58333,0.0,0.0,0.25,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.16667,0.0,6.8889,4.5556,8.4444,8.0,7.0,6.6667,7.1111,8.1111,2.1111,7.2222,4.8889,1.4444,7.5556,6.7778
13,14,stimulus_14,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0014.mp4,True,0.083333,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.083333,0.25,0.0,0.25,0.16667,0.0,0.0,0.41667,0.16667,5.8889,4.8889,6.0,6.5556,6.3333,6.2222,7.4444,6.5556,2.8889,6.0,5.8889,2.5556,6.2222,7.1111
14,15,stimulus_15,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0015.mp4,True,0.0,0.0,0.0,0.083333,0.0,0.41667,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.58333,0.0,0.16667,0.083333,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.16667,0.083333,0.0,6.6667,4.5556,3.3333,1.8889,6.4444,4.5556,5.0,2.1111,2.4444,4.0,5.0,4.6667,3.1111,4.7778
15,16,stimulus_16,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0016.mp4,True,0.0,0.0,0.58333,0.0,0.0,0.16667,0.5,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.16667,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1111,4.5556,6.8889,4.4444,7.3333,5.2222,4.4444,5.5556,2.3333,6.8889,4.0,1.6667,5.4444,6.0
16,17,stimulus_17,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0017.mp4,True,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.083333,0.25,0.0,0.083333,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.16667,6.3333,5.2222,7.1111,7.5556,6.6667,5.5556,5.6667,7.5556,1.2222,8.0,6.8889,1.1111,7.2222,7.0
17,18,stimulus_18,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0018.mp4,True,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.083333,0.0,0.0,6.2222,4.8889,3.1111,1.7778,4.0,3.1111,2.1111,4.2222,3.7778,4.7778,2.4444,3.1111,4.3333,3.5556
18,19,stimulus_19,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0019.mp4,True,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.16667,0.083333,0.0,0.0,0.41667,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,6.1111,4.5556,6.7778,6.8889,6.3333,6.6667,5.1111,8.4444,1.0,7.7778,6.0,2.4444,7.2222,6.2222
19,20,stimulus_20,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0020.mp4,True,0.0,0.0,0.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,6.4444,4.2222,6.4444,6.6667,7.1111,4.7778,4.8889,7.5556,2.3333,6.5556,5.1111,2.2222,6.6667,6.6667
20,21,stimulus_21,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0021.mp4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.0,0.0,0.41667,0.33333,0.0,0.0,0.0,0.25,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.16667,0.0,0.0,6.3333,4.7778,1.7778,1.0,5.3333,3.6667,3.6667,1.4444,6.2222,3.1111,3.3333,4.1111,2.3333,1.5556
21,22,stimulus_22,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0022.mp4,True,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.16667,0.0,0.25,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.33333,7.3333,6.3333,4.7778,3.1111,6.2222,5.8889,4.1111,5.8889,1.8889,5.7778,3.7778,1.7778,5.0,5.7778
22,23,stimulus_23,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0023.mp4,True,0.0,0.0,0.41667,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,6.2222,4.8889,7.3333,7.1111,7.2222,7.0,4.8889,7.8889,1.1111,6.3333,4.5556,1.2222,7.5556,6.6667
23,24,stimulus_24,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0024.mp4,True,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.083333,0.0,0.16667,0.0,0.083333,0.0,0.0,0.16667,0.0,0.25,0.083333,0.0,0.16667,0.083333,0.083333,5.7778,4.8889,3.8889,3.8889,5.8889,3.5556,4.0,3.3333,3.3333,4.2222,3.3333,3.6667,3.6667,3.2222
24,25,stimulus_25,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0025.mp4,True,0.0,0.0,0.0,0.0,0.0,0.58333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4444,4.2222,2.8889,2.0,6.6667,2.8889,2.4444,4.3333,5.4444,3.8889,2.0,5.2222,1.7778,6.2222
25,26,stimulus_26,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0026.mp4,True,0.0,0.083333,0.66667,0.0,0.0,0.083333,0.25,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.2222,4.8889,8.0,8.1111,7.3333,7.2222,4.5556,7.8889,1.5556,7.0,4.5556,4.0,7.0,7.2222
26,27,stimulus_27,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0027.mp4,True,0.0,0.0,0.0,0.58333,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.16667,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.25,0.41667,0.0,5.8889,4.1111,2.7778,2.6667,5.0,3.6667,5.5556,2.1111,3.6667,2.8889,4.7778,4.6667,2.5556,1.8889
27,28,stimulus_28,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0028.mp4,True,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.83333,0.16667,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3333,3.2222,1.4444,1.6667,4.0,3.3333,2.1111,3.1111,6.7778,3.3333,1.6667,4.3333,1.4444,2.3333
28,29,stimulus_29,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0029.mp4,True,0.0,0.0,0.41667,0.33333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.16667,0.0,0.0,6.3333,5.2222,6.8889,7.0,6.7778,5.8889,5.3333,6.6667,1.7778,6.4444,4.8889,3.6667,4.7778,7.4444
29,30,stimulus_30,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0030.mp4,True,0.0,0.0,0.0,0.083333,0.0,0.16667,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.83333,0.0,0.0,0.0,0.0,0.25,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.25,0.0,0.0,6.1111,3.2222,1.8889,1.5556,5.1111,3.1111,3.2222,3.3333,6.5556,4.3333,2.4444,5.7778,2.5556,3.5556
30,31,stimulus_31,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0031.mp4,True,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,6.0,3.8889,3.2222,2.0,6.1111,2.7778,5.1111,2.8889,4.1111,3.6667,5.1111,5.2222,1.8889,4.6667
31,32,stimulus_32,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0032.mp4,True,0.3,0.0,0.1,0.4,0.0,0.0,0.3,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,5.8889,4.6667,5.8889,5.1111,6.1111,4.6667,5.5556,6.7778,3.0,5.2222,5.2222,3.5556,4.3333,6.6667
32,33,stimulus_33,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0033.mp4,True,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8889,4.4444,6.3333,6.5556,6.2222,5.8889,5.3333,6.8889,2.6667,6.8889,5.5556,2.7778,6.7778,6.4444
33,34,stimulus_34,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0034.mp4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,5.8889,4.6667,6.1111,6.0,6.6667,6.3333,5.8889,8.1111,2.0,6.6667,5.3333,3.7778,7.3333,6.8889
34,35,stimulus_35,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0035.mp4,True,0.0,0.7,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8889,3.7778,7.0,6.4444,6.0,7.1111,7.3333,7.0,1.8889,6.8889,4.3333,2.8889,6.5556,6.7778
35,36,stimulus_36,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0036.mp4,True,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,5.4444,5.1111,5.7778,4.8889,5.3333,5.5556,6.2222,6.8889,3.1111,6.0,6.1111,3.7778,6.4444,6.1111
36,37,stimulus_37,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0037.mp4,True,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6.4444,4.5556,7.1111,5.7778,6.2222,6.2222,6.0,7.4444,1.7778,6.4444,5.1111,2.3333,7.0,5.8889
37,38,stimulus_38,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0038.mp4,True,0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,6.1111,5.1111,5.8889,6.3333,5.7778,5.4444,5.1111,7.6667,3.3333,5.8889,6.3333,3.3333,6.1111,7.2222
38,39,stimulus_39,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0039.mp4,True,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,5.1111,4.3333,5.8889,4.4444,5.2222,4.0,4.0,6.4444,3.4444,5.6667,4.3333,3.0,3.2222,6.1111
39,40,stimulus_40,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0040.mp4,True,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,5.7778,4.4444,7.5556,6.6667,5.7778,5.2222,5.8889,7.7778,3.0,6.5556,4.8889,3.3333,6.1111,6.7778
40,41,stimulus_41,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0041.mp4,True,0.1,0.0,0.1,0.2,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.4,5.6667,5.4444,6.7778,5.5556,5.8889,5.0,5.7778,6.8889,3.0,6.6667,5.7778,3.1111,6.1111,7.4444
41,42,stimulus_42,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0042.mp4,True,0.0,0.0,0.4,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,5.4444,4.0,4.8889,4.8889,5.8889,5.0,3.3333,6.5556,4.0,4.3333,4.0,3.2222,4.6667,5.0
42,43,stimulus_43,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0043.mp4,True,0.0,0.1,0.0,0.4,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.0,0.1,5.8889,4.0,6.7778,6.3333,6.3333,5.3333,5.7778,7.7778,3.0,6.3333,4.8889,3.3333,6.5556,7.2222
43,44,stimulus_44,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0044.mp4,True,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,6.3333,5.4444,6.2222,6.0,6.3333,5.8889,5.8889,7.2222,2.7778,6.1111,5.7778,3.3333,6.7778,5.8889
44,45,stimulus_45,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0045.mp4,True,0.0,0.0,0.0,0.1,0.2,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,5.6667,5.4444,3.0,1.7778,6.6667,3.7778,3.0,3.3333,3.8889,3.7778,2.6667,5.1111,1.3333,6.1111
45,46,stimulus_46,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0046.mp4,True,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3333,3.8889,2.7778,1.0,6.0,3.4444,3.2222,3.1111,5.1111,4.4444,2.5556,5.1111,1.5556,3.5556
46,47,stimulus_47,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0047.mp4,True,0.1,0.2,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.3333,4.3333,4.1111,2.6667,6.1111,3.4444,3.2222,3.7778,5.7778,3.4444,3.0,4.0,3.1111,2.7778
47,48,stimulus_48,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0048.mp4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5556,3.2222,2.0,1.6667,4.1111,3.3333,2.3333,4.0,5.2222,3.1111,2.2222,4.6667,2.8889,2.2222
48,49,stimulus_49,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0049.mp4,True,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.1111,5.6667,5.6667,5.6667,7.0,6.2222,6.3333,5.8889,3.1111,6.7778,6.2222,2.7778,5.4444,6.0
49,50,stimulus_50,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0050.mp4,True,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,5.3333,6.2222,6.1111,7.1111,6.1111,6.1111,6.0,6.8889,3.3333,6.6667,5.5556,3.1111,7.2222,5.8889
