sample_id,text
sub-01::stimulus_152,This brain response shows valence 8.33 and arousal 7.11.
sub-01::stimulus_153,This brain response shows valence 1.78 and arousal 5.11.
sub-01::stimulus_154,This brain response shows valence 1.22 and arousal 5.00.
sub-01::stimulus_155,This brain response shows valence 4.44 and arousal 5.00.
sub-01::stimulus_156,This brain response shows valence 5.22 and arousal 6.78.
sub-01::stimulus_157,This brain response shows valence 5.22 and arousal 6.89.
sub-01::stimulus_158,This brain response shows valence 1.89 and arousal 5.44.
sub-01::stimulus_159,This brain response shows valence 3.44 and arousal 5.44.
sub-01::stimulus_160,This brain response shows valence 4.67 and arousal 5.89.
sub-01::stimulus_161,This brain response shows valence 8.11 and arousal 5.89.
sub-01::stimulus_162,This brain response shows valence 7.11 and arousal 7.56.
sub-01::stimulus_163,This brain response shows valence 8.11 and arousal 6.44.
sub-01::stimulus_164,This brain response shows valence 7.44 and arousal 5.44.
sub-01::stimulus_165,This brain response shows valence 8.33 and arousal 6.11.
sub-01::stimulus_166,This brain response shows valence 1.11 and arousal 6.22.
sub-01::stimulus_167,This brain response shows valence 8.11 and arousal 6.44.
sub-01::stimulus_168,This brain response shows valence 6.22 and arousal 5.00.
sub-01::stimulus_169,This brain response shows valence 4.11 and arousal 5.56.
sub-01::stimulus_170,This brain response shows valence 3.44 and arousal 7.78.
sub-01::stimulus_171,This brain response shows valence 6.22 and arousal 6.11.
sub-01::stimulus_172,This brain response shows valence 7.67 and arousal 5.78.
sub-01::stimulus_173,This brain response shows valence 6.56 and arousal 5.89.
sub-01::stimulus_174,This brain response shows valence 5.22 and arousal 5.56.
sub-01::stimulus_175,This brain response shows valence 5.78 and arousal 6.56.
sub-01::stimulus_176,This brain response shows valence 7.33 and arousal 7.78.
sub-01::stimulus_177,This brain response shows valence 6.44 and arousal 6.33.
sub-01::stimulus_178,This brain response shows valence 6.33 and arousal 4.33.
sub-01::stimulus_179,This brain response shows valence 3.89 and arousal 4.00.
sub-01::stimulus_180,This brain response shows valence 6.33 and arousal 6.33.
sub-01::stimulus_181,This brain response shows valence 1.00 and arousal 5.33.
sub-01::stimulus_182,This brain response shows valence 7.56 and arousal 7.56.
sub-01::stimulus_183,This brain response shows valence 6.44 and arousal 6.78.
sub-01::stimulus_184,This brain response shows valence 8.78 and arousal 6.78.
sub-01::stimulus_185,This brain response shows valence 6.67 and arousal 6.78.
sub-01::stimulus_186,This brain response shows valence 1.33 and arousal 3.67.
sub-01::stimulus_187,This brain response shows valence 1.00 and arousal 5.00.
sub-01::stimulus_188,This brain response shows valence 7.44 and arousal 5.33.
sub-01::stimulus_189,This brain response shows valence 2.22 and arousal 7.44.
sub-01::stimulus_190,This brain response shows valence 1.78 and arousal 6.22.
sub-01::stimulus_191,This brain response shows valence 6.78 and arousal 6.00.
sub-01::stimulus_192,This brain response shows valence 8.22 and arousal 6.89.
sub-01::stimulus_193,This brain response shows valence 6.67 and arousal 5.22.
sub-01::stimulus_194,This brain response shows valence 6.56 and arousal 5.11.
sub-01::stimulus_195,This brain response shows valence 1.33 and arousal 5.56.
sub-01::stimulus_196,This brain response shows valence 7.78 and arousal 5.89.
sub-01::stimulus_197,This brain response shows valence 1.22 and arousal 6.67.
sub-01::stimulus_198,This brain response shows valence 7.22 and arousal 5.11.
sub-01::stimulus_199,This brain response shows valence 6.67 and arousal 6.22.
sub-01::stimulus_200,This brain response shows valence 5.89 and arousal 7.00.
sub-01::stimulus_201,This brain response shows valence 6.33 and arousal 5.56.
sub-01::stimulus_202,This brain response shows valence 5.44 and arousal 6.67.
sub-01::stimulus_203,This brain response shows valence 5.11 and arousal 3.78.
sub-01::stimulus_204,This brain response shows valence 8.00 and arousal 5.78.
sub-01::stimulus_205,This brain response shows valence 6.89 and arousal 7.00.
sub-01::stimulus_206,This brain response shows valence 7.44 and arousal 6.67.
sub-01::stimulus_207,This brain response shows valence 7.11 and arousal 6.56.
sub-01::stimulus_208,This brain response shows valence 1.89 and arousal 5.56.
sub-01::stimulus_209,This brain response shows valence 4.78 and arousal 6.33.
sub-01::stimulus_210,This brain response shows valence 5.44 and arousal 6.00.
sub-01::stimulus_211,This brain response shows valence 3.00 and arousal 5.56.
sub-01::stimulus_212,This brain response shows valence 5.56 and arousal 5.44.
sub-01::stimulus_213,This brain response shows valence 1.22 and arousal 5.44.
sub-01::stimulus_214,This brain response shows valence 2.89 and arousal 4.89.
sub-01::stimulus_215,This brain response shows valence 7.00 and arousal 6.44.
sub-01::stimulus_216,This brain response shows valence 1.89 and arousal 6.11.
sub-01::stimulus_217,This brain response shows valence 7.22 and arousal 6.56.
sub-01::stimulus_218,This brain response shows valence 1.22 and arousal 6.22.
sub-01::stimulus_219,This brain response shows valence 8.33 and arousal 7.33.
sub-01::stimulus_220,This brain response shows valence 6.56 and arousal 7.00.
sub-01::stimulus_221,This brain response shows valence 5.00 and arousal 6.22.
sub-01::stimulus_222,This brain response shows valence 2.56 and arousal 6.56.
sub-01::stimulus_223,This brain response shows valence 2.89 and arousal 6.78.
sub-01::stimulus_224,This brain response shows valence 6.22 and arousal 6.11.
sub-01::stimulus_225,This brain response shows valence 3.22 and arousal 3.44.
sub-01::stimulus_226,This brain response shows valence 1.33 and arousal 4.89.
sub-01::stimulus_227,This brain response shows valence 6.00 and arousal 5.44.
sub-01::stimulus_228,This brain response shows valence 7.89 and arousal 7.78.
sub-01::stimulus_229,This brain response shows valence 5.67 and arousal 7.11.
sub-01::stimulus_230,This brain response shows valence 7.44 and arousal 7.56.
sub-01::stimulus_231,This brain response shows valence 3.89 and arousal 6.44.
sub-01::stimulus_232,This brain response shows valence 7.33 and arousal 6.78.
sub-01::stimulus_233,This brain response shows valence 5.22 and arousal 6.78.
sub-01::stimulus_234,This brain response shows valence 2.00 and arousal 7.78.
sub-01::stimulus_235,This brain response shows valence 1.44 and arousal 5.22.
sub-01::stimulus_236,This brain response shows valence 1.56 and arousal 4.56.
sub-01::stimulus_237,This brain response shows valence 7.33 and arousal 7.11.
sub-01::stimulus_238,This brain response shows valence 1.11 and arousal 6.44.
sub-01::stimulus_239,This brain response shows valence 4.56 and arousal 7.11.
sub-01::stimulus_240,This brain response shows valence 1.44 and arousal 6.11.
sub-01::stimulus_241,This brain response shows valence 5.78 and arousal 5.78.
sub-01::stimulus_242,This brain response shows valence 5.44 and arousal 5.78.
sub-01::stimulus_243,This brain response shows valence 2.11 and arousal 5.56.
sub-01::stimulus_244,This brain response shows valence 2.33 and arousal 5.22.
sub-01::stimulus_245,This brain response shows valence 5.89 and arousal 5.33.
sub-01::stimulus_246,This brain response shows valence 6.00 and arousal 6.22.
sub-01::stimulus_247,This brain response shows valence 6.11 and arousal 5.78.
sub-01::stimulus_248,This brain response shows valence 5.89 and arousal 6.44.
sub-01::stimulus_249,This brain response shows valence 2.44 and arousal 5.89.
sub-01::stimulus_250,This brain response shows valence 4.56 and arousal 5.56.
sub-01::stimulus_251,This brain response shows valence 7.00 and arousal 7.00.
sub-01::stimulus_252,This brain response shows valence 1.89 and arousal 5.67.
sub-01::stimulus_253,This brain response shows valence 7.22 and arousal 7.00.
sub-01::stimulus_254,This brain response shows valence 4.78 and arousal 5.22.
sub-01::stimulus_255,This brain response shows valence 7.00 and arousal 4.78.
sub-01::stimulus_256,This brain response shows valence 7.44 and arousal 6.89.
sub-01::stimulus_257,This brain response shows valence 5.78 and arousal 5.56.
sub-01::stimulus_258,This brain response shows valence 7.78 and arousal 6.78.
sub-01::stimulus_259,This brain response shows valence 1.89 and arousal 6.67.
sub-01::stimulus_260,This brain response shows valence 6.89 and arousal 6.67.
sub-01::stimulus_261,This brain response shows valence 7.00 and arousal 6.44.
sub-01::stimulus_262,This brain response shows valence 4.56 and arousal 6.67.
sub-01::stimulus_263,This brain response shows valence 6.44 and arousal 4.67.
sub-01::stimulus_264,This brain response shows valence 7.11 and arousal 6.67.
sub-01::stimulus_265,This brain response shows valence 6.22 and arousal 5.78.
sub-01::stimulus_266,This brain response shows valence 1.22 and arousal 7.44.
sub-01::stimulus_267,This brain response shows valence 6.78 and arousal 5.56.
sub-01::stimulus_268,This brain response shows valence 2.89 and arousal 4.00.
sub-01::stimulus_269,This brain response shows valence 3.56 and arousal 7.78.
sub-01::stimulus_270,This brain response shows valence 5.22 and arousal 6.78.
sub-01::stimulus_271,This brain response shows valence 1.33 and arousal 6.44.
sub-01::stimulus_272,This brain response shows valence 3.67 and arousal 6.11.
sub-01::stimulus_273,This brain response shows valence 7.44 and arousal 6.56.
sub-01::stimulus_274,This brain response shows valence 7.22 and arousal 5.00.
sub-01::stimulus_275,This brain response shows valence 7.44 and arousal 6.78.
sub-01::stimulus_276,This brain response shows valence 3.22 and arousal 5.78.
sub-01::stimulus_277,This brain response shows valence 6.89 and arousal 6.11.
sub-01::stimulus_278,This brain response shows valence 2.33 and arousal 4.89.
sub-01::stimulus_279,This brain response shows valence 2.00 and arousal 4.78.
sub-01::stimulus_280,This brain response shows valence 6.56 and arousal 7.22.
sub-01::stimulus_281,This brain response shows valence 6.44 and arousal 6.56.
sub-01::stimulus_282,This brain response shows valence 4.11 and arousal 5.11.
sub-01::stimulus_283,This brain response shows valence 5.56 and arousal 6.22.
sub-01::stimulus_284,This brain response shows valence 5.67 and arousal 5.67.
sub-01::stimulus_285,This brain response shows valence 4.33 and arousal 4.00.
sub-01::stimulus_286,This brain response shows valence 6.56 and arousal 6.00.
sub-01::stimulus_287,This brain response shows valence 6.56 and arousal 6.89.
sub-01::stimulus_288,This brain response shows valence 1.33 and arousal 2.78.
sub-01::stimulus_289,This brain response shows valence 7.89 and arousal 6.89.
sub-01::stimulus_290,This brain response shows valence 6.11 and arousal 4.33.
sub-01::stimulus_291,This brain response shows valence 7.78 and arousal 6.67.
sub-01::stimulus_292,This brain response shows valence 8.22 and arousal 5.89.
sub-01::stimulus_293,This brain response shows valence 7.33 and arousal 6.11.
sub-01::stimulus_294,This brain response shows valence 5.78 and arousal 6.22.
sub-01::stimulus_295,This brain response shows valence 7.78 and arousal 6.78.
sub-01::stimulus_296,This brain response shows valence 7.33 and arousal 5.67.
sub-01::stimulus_297,This brain response shows valence 6.78 and arousal 5.78.
sub-01::stimulus_298,This brain response shows valence 6.44 and arousal 4.56.
sub-01::stimulus_299,This brain response shows valence 2.44 and arousal 5.11.
sub-01::stimulus_300,This brain response shows valence 4.78 and arousal 4.78.
sub-01::stimulus_301,This brain response shows valence 7.00 and arousal 5.67.
sub-01::stimulus_302,This brain response shows valence 6.67 and arousal 6.67.
sub-01::stimulus_303,This brain response shows valence 5.78 and arousal 5.22.
sub-01::stimulus_304,This brain response shows valence 7.22 and arousal 5.33.
sub-01::stimulus_305,This brain response shows valence 6.11 and arousal 5.11.
sub-01::stimulus_306,This brain response shows valence 2.22 and arousal 4.78.
sub-01::stimulus_307,This brain response shows valence 8.22 and arousal 6.00.
sub-01::stimulus_308,This brain response shows valence 2.44 and arousal 6.78.
sub-01::stimulus_309,This brain response shows valence 6.22 and arousal 6.56.
sub-01::stimulus_310,This brain response shows valence 5.78 and arousal 6.33.
sub-01::stimulus_311,This brain response shows valence 6.22 and arousal 6.11.
sub-01::stimulus_312,This brain response shows valence 3.33 and arousal 6.22.
sub-01::stimulus_313,This brain response shows valence 3.78 and arousal 6.33.
sub-01::stimulus_314,This brain response shows valence 5.89 and arousal 6.22.
sub-01::stimulus_315,This brain response shows valence 6.89 and arousal 5.56.
sub-01::stimulus_316,This brain response shows valence 2.78 and arousal 7.56.
sub-01::stimulus_317,This brain response shows valence 6.89 and arousal 6.44.
sub-01::stimulus_318,This brain response shows valence 5.33 and arousal 6.00.
sub-01::stimulus_319,This brain response shows valence 7.78 and arousal 5.78.
sub-01::stimulus_320,This brain response shows valence 7.33 and arousal 7.44.
sub-01::stimulus_321,This brain response shows valence 7.89 and arousal 6.78.
sub-01::stimulus_322,This brain response shows valence 7.89 and arousal 6.11.
sub-01::stimulus_323,This brain response shows valence 7.33 and arousal 6.33.
sub-01::stimulus_324,This brain response shows valence 4.00 and arousal 7.00.
sub-01::stimulus_325,This brain response shows valence 7.33 and arousal 6.67.
sub-01::stimulus_326,This brain response shows valence 3.89 and arousal 4.67.
sub-01::stimulus_327,This brain response shows valence 5.89 and arousal 6.67.
sub-01::stimulus_328,This brain response shows valence 7.78 and arousal 6.56.
sub-01::stimulus_329,This brain response shows valence 3.00 and arousal 5.89.
sub-01::stimulus_330,This brain response shows valence 6.33 and arousal 6.67.
sub-01::stimulus_331,This brain response shows valence 8.22 and arousal 6.22.
sub-01::stimulus_332,This brain response shows valence 2.67 and arousal 5.89.
sub-01::stimulus_333,This brain response shows valence 4.44 and arousal 5.56.
sub-01::stimulus_334,This brain response shows valence 4.11 and arousal 5.22.
sub-01::stimulus_335,This brain response shows valence 2.89 and arousal 4.22.
sub-01::stimulus_336,This brain response shows valence 5.89 and arousal 6.44.
sub-01::stimulus_337,This brain response shows valence 6.78 and arousal 7.33.
sub-01::stimulus_338,This brain response shows valence 3.67 and arousal 6.44.
sub-01::stimulus_339,This brain response shows valence 7.22 and arousal 4.11.
sub-01::stimulus_340,This brain response shows valence 5.11 and arousal 5.11.
sub-01::stimulus_341,This brain response shows valence 5.00 and arousal 5.67.
sub-01::stimulus_342,This brain response shows valence 5.78 and arousal 6.33.
sub-01::stimulus_343,This brain response shows valence 5.89 and arousal 5.78.
sub-01::stimulus_344,This brain response shows valence 7.56 and arousal 4.89.
sub-01::stimulus_345,This brain response shows valence 1.22 and arousal 5.22.
sub-01::stimulus_346,This brain response shows valence 6.33 and arousal 5.22.
sub-01::stimulus_347,This brain response shows valence 6.56 and arousal 6.44.
sub-01::stimulus_348,This brain response shows valence 7.89 and arousal 4.44.
sub-01::stimulus_349,This brain response shows valence 6.33 and arousal 6.56.
sub-01::stimulus_350,This brain response shows valence 5.44 and arousal 4.67.
sub-01::stimulus_351,This brain response shows valence 3.67 and arousal 4.33.
sub-01::stimulus_352,This brain response shows valence 3.11 and arousal 5.78.
sub-01::stimulus_353,This brain response shows valence 8.11 and arousal 7.33.
sub-01::stimulus_354,This brain response shows valence 7.89 and arousal 4.67.
sub-01::stimulus_355,This brain response shows valence 1.33 and arousal 6.56.
sub-01::stimulus_356,This brain response shows valence 7.67 and arousal 5.89.
sub-01::stimulus_357,This brain response shows valence 6.67 and arousal 6.22.
sub-01::stimulus_358,This brain response shows valence 7.22 and arousal 6.56.
sub-01::stimulus_359,This brain response shows valence 5.33 and arousal 5.89.
sub-01::stimulus_360,This brain response shows valence 6.44 and arousal 5.00.
sub-01::stimulus_361,This brain response shows valence 5.78 and arousal 5.11.
sub-01::stimulus_362,This brain response shows valence 7.11 and arousal 6.33.
sub-01::stimulus_363,This brain response shows valence 2.44 and arousal 5.56.
sub-01::stimulus_364,This brain response shows valence 1.44 and arousal 5.89.
sub-01::stimulus_365,This brain response shows valence 7.22 and arousal 6.22.
sub-01::stimulus_366,This brain response shows valence 7.11 and arousal 5.89.
sub-01::stimulus_367,This brain response shows valence 4.56 and arousal 5.33.
sub-01::stimulus_368,This brain response shows valence 5.78 and arousal 4.89.
sub-01::stimulus_369,This brain response shows valence 6.44 and arousal 5.67.
sub-01::stimulus_370,This brain response shows valence 4.22 and arousal 5.89.
sub-01::stimulus_371,This brain response shows valence 3.89 and arousal 5.11.
sub-01::stimulus_372,This brain response shows valence 4.00 and arousal 5.89.
sub-01::stimulus_373,This brain response shows valence 4.33 and arousal 5.33.
sub-01::stimulus_374,This brain response shows valence 2.44 and arousal 5.44.
sub-01::stimulus_375,This brain response shows valence 5.11 and arousal 6.78.
sub-01::stimulus_376,This brain response shows valence 5.56 and arousal 5.22.
sub-01::stimulus_377,This brain response shows valence 3.22 and arousal 6.00.
sub-01::stimulus_378,This brain response shows valence 5.33 and arousal 5.11.
sub-01::stimulus_379,This brain response shows valence 2.78 and arousal 5.67.
sub-01::stimulus_380,This brain response shows valence 6.78 and arousal 6.44.
sub-01::stimulus_381,This brain response shows valence 7.11 and arousal 6.11.
sub-01::stimulus_382,This brain response shows valence 3.78 and arousal 4.56.
sub-01::stimulus_383,This brain response shows valence 1.11 and arousal 5.33.
sub-01::stimulus_384,This brain response shows valence 3.22 and arousal 5.67.
sub-01::stimulus_385,This brain response shows valence 4.33 and arousal 7.44.
sub-01::stimulus_386,This brain response shows valence 6.11 and arousal 5.11.
sub-01::stimulus_387,This brain response shows valence 1.44 and arousal 5.67.
sub-01::stimulus_388,This brain response shows valence 7.56 and arousal 6.22.
sub-01::stimulus_389,This brain response shows valence 2.11 and arousal 7.11.
sub-01::stimulus_390,This brain response shows valence 5.33 and arousal 4.22.
sub-01::stimulus_391,This brain response shows valence 7.67 and arousal 6.78.
sub-01::stimulus_392,This brain response shows valence 8.44 and arousal 6.11.
sub-01::stimulus_393,This brain response shows valence 2.78 and arousal 4.89.
sub-01::stimulus_394,This brain response shows valence 6.56 and arousal 5.56.
sub-01::stimulus_395,This brain response shows valence 3.78 and arousal 7.00.
sub-01::stimulus_396,This brain response shows valence 7.00 and arousal 5.78.
sub-01::stimulus_397,This brain response shows valence 6.33 and arousal 4.22.
sub-01::stimulus_398,This brain response shows valence 4.33 and arousal 5.00.
sub-01::stimulus_399,This brain response shows valence 6.67 and arousal 4.11.
