stim_idx,stimulus_num,stimulus_name,valence_score,arousal_score,v_quartile,a_quartile
473,474,stimulus_474,1.2222,6.6667,0,3
474,475,stimulus_475,4.4444,6.3333,1,2
475,476,stimulus_476,6.4444,7.1111,2,3
476,477,stimulus_477,3.8889,5.5556,1,1
477,478,stimulus_478,6.3333,7.2222,2,3
478,479,stimulus_479,8.5556,5.7778,3,1
479,480,stimulus_480,8.6667,7.0,3,3
480,481,stimulus_481,2.1111,6.0,0,2
481,482,stimulus_482,2.3333,6.0,0,2
482,483,stimulus_483,7.4444,5.7778,3,1
483,484,stimulus_484,4.7778,5.2222,1,1
484,485,stimulus_485,4.7778,5.6667,1,1
485,486,stimulus_486,5.5556,5.7778,1,1
486,487,stimulus_487,6.6667,6.5556,2,3
487,488,stimulus_488,5.1111,5.0,1,0
488,489,stimulus_489,2.0,6.8889,0,3
489,490,stimulus_490,2.0,5.3333,0,1
490,491,stimulus_491,5.7778,5.4444,2,1
491,492,stimulus_492,3.0,4.7778,0,0
492,493,stimulus_493,6.6667,5.7778,2,1
493,494,stimulus_494,2.3333,5.3333,0,1
494,495,stimulus_495,3.1111,4.5556,0,0
495,496,stimulus_496,5.4444,6.1111,1,2
496,497,stimulus_497,4.7778,5.7778,1,1
497,498,stimulus_498,5.0,5.4444,1,1
498,499,stimulus_499,4.7778,5.8889,1,2
499,500,stimulus_500,4.0,6.7778,1,3
500,501,stimulus_501,7.1111,7.0,3,3
501,502,stimulus_502,4.8889,5.6667,1,1
502,503,stimulus_503,6.5556,6.4444,2,3
503,504,stimulus_504,3.8889,6.4444,1,3
504,505,stimulus_505,4.2222,5.4444,1,1
505,506,stimulus_506,6.3333,6.4444,2,3
506,507,stimulus_507,7.2222,5.2222,3,1
507,508,stimulus_508,4.5556,5.0,1,0
508,509,stimulus_509,5.3333,6.3333,1,2
509,510,stimulus_510,3.6667,5.0,1,0
510,511,stimulus_511,6.7778,6.6667,3,3
511,512,stimulus_512,1.7778,4.6667,0,0
512,513,stimulus_513,2.6667,5.0,0,0
513,514,stimulus_514,1.6667,5.1111,0,0
514,515,stimulus_515,7.5556,5.4444,3,1
515,516,stimulus_516,6.7778,7.0,3,3
516,517,stimulus_517,4.0,7.0,1,3
517,518,stimulus_518,7.2222,5.0,3,0
518,519,stimulus_519,8.1111,4.5556,3,0
519,520,stimulus_520,6.2222,5.4444,2,1
520,521,stimulus_521,7.2222,5.4444,3,1
521,522,stimulus_522,2.2222,6.4444,0,3
522,523,stimulus_523,4.2222,4.2222,1,0
523,524,stimulus_524,1.3333,6.8889,0,3
524,525,stimulus_525,6.4444,5.6667,2,1
525,526,stimulus_526,6.3333,6.2222,2,2
526,527,stimulus_527,6.5556,4.8889,2,0
527,528,stimulus_528,6.7778,4.2222,3,0
528,529,stimulus_529,1.2222,5.1111,0,0
529,530,stimulus_530,8.6667,6.0,3,2
530,531,stimulus_531,7.1111,6.1111,3,2
531,532,stimulus_532,2.1111,5.0,0,0
532,533,stimulus_533,5.5556,6.7778,1,3
533,534,stimulus_534,8.0,6.5556,3,3
534,535,stimulus_535,7.4444,5.4444,3,1
535,536,stimulus_536,2.7778,6.6667,0,3
536,537,stimulus_537,6.1111,6.0,2,2
537,538,stimulus_538,6.0,6.1111,2,2
538,539,stimulus_539,7.8889,7.7778,3,3
539,540,stimulus_540,7.4444,6.8889,3,3
540,541,stimulus_541,6.0,5.6667,2,1
541,542,stimulus_542,6.3333,5.1111,2,0
542,543,stimulus_543,7.3333,5.2222,3,1
543,544,stimulus_544,5.1111,5.8889,1,2
544,545,stimulus_545,6.1111,5.4444,2,1
545,546,stimulus_546,6.6667,7.0,2,3
546,547,stimulus_547,3.1111,5.4444,0,1
547,548,stimulus_548,2.7778,5.5556,0,1
548,549,stimulus_549,6.2222,5.3333,2,1
549,550,stimulus_550,6.1111,7.8889,2,3
550,551,stimulus_551,1.4444,3.6667,0,0
551,552,stimulus_552,4.1111,4.5556,1,0
552,553,stimulus_553,6.7778,6.2222,3,2
553,554,stimulus_554,2.3333,5.1111,0,0
554,555,stimulus_555,6.7778,6.6667,3,3
555,556,stimulus_556,5.4444,5.1111,1,0
556,557,stimulus_557,4.8889,5.4444,1,1
557,558,stimulus_558,3.1111,6.4444,0,3
558,559,stimulus_559,5.5556,5.7778,1,1
559,560,stimulus_560,7.8889,6.3333,3,2
560,561,stimulus_561,7.1111,6.3333,3,2
