subject,stimulus_num,stimulus_name,v_quartile,a_quartile,split
sub-01,61,stimulus_61,1,0,train
sub-01,62,stimulus_62,0,0,test
sub-01,63,stimulus_63,1,0,test
sub-01,64,stimulus_64,1,0,train
sub-01,65,stimulus_65,1,2,train
sub-01,66,stimulus_66,1,0,train
sub-01,67,stimulus_67,0,0,train
sub-01,68,stimulus_68,1,0,train
sub-01,69,stimulus_69,2,1,train
sub-01,70,stimulus_70,1,0,train
sub-01,71,stimulus_71,0,0,train
sub-01,72,stimulus_72,1,0,train
sub-01,73,stimulus_73,0,1,train
sub-01,74,stimulus_74,3,2,train
sub-01,75,stimulus_75,2,1,train
sub-01,76,stimulus_76,1,1,val
sub-01,77,stimulus_77,1,0,train
sub-01,78,stimulus_78,3,1,train
sub-01,79,stimulus_79,0,0,train
sub-01,80,stimulus_80,1,1,train
sub-01,81,stimulus_81,0,2,train
sub-01,82,stimulus_82,2,1,train
sub-01,83,stimulus_83,3,0,train
sub-01,84,stimulus_84,2,1,train
sub-01,85,stimulus_85,2,1,train
sub-01,86,stimulus_86,1,1,train
sub-01,87,stimulus_87,3,1,train
sub-01,88,stimulus_88,2,1,train
sub-01,89,stimulus_89,0,1,train
sub-01,90,stimulus_90,3,1,train
sub-01,91,stimulus_91,2,1,train
sub-01,92,stimulus_92,2,1,train
sub-01,93,stimulus_93,1,2,train
sub-01,94,stimulus_94,3,0,test
sub-01,95,stimulus_95,0,1,val
sub-01,96,stimulus_96,0,3,train
sub-01,97,stimulus_97,1,2,train
sub-01,98,stimulus_98,3,1,train
sub-01,99,stimulus_99,1,2,val
sub-01,100,stimulus_100,3,3,train
sub-01,101,stimulus_101,3,3,train
sub-01,102,stimulus_102,3,2,train
sub-01,103,stimulus_103,1,0,train
sub-01,104,stimulus_104,0,0,train
sub-01,105,stimulus_105,1,1,train
sub-01,106,stimulus_106,1,0,train
sub-01,107,stimulus_107,0,1,train
sub-01,108,stimulus_108,2,2,train
sub-01,109,stimulus_109,0,2,val
sub-01,110,stimulus_110,3,1,train
sub-01,111,stimulus_111,3,2,train
sub-01,112,stimulus_112,2,3,train
sub-01,113,stimulus_113,3,1,test
sub-01,114,stimulus_114,2,1,train
sub-01,115,stimulus_115,1,2,train
sub-01,116,stimulus_116,3,1,train
sub-01,117,stimulus_117,1,0,train
sub-01,118,stimulus_118,1,1,val
sub-01,119,stimulus_119,0,1,train
sub-01,120,stimulus_120,2,0,train
sub-01,121,stimulus_121,2,1,train
sub-01,122,stimulus_122,1,1,train
sub-01,123,stimulus_123,3,1,test
sub-01,124,stimulus_124,0,0,train
sub-01,125,stimulus_125,3,2,train
sub-01,126,stimulus_126,3,2,train
sub-01,127,stimulus_127,0,3,train
sub-01,128,stimulus_128,0,1,train
sub-01,129,stimulus_129,0,2,train
sub-01,130,stimulus_130,2,2,train
sub-01,131,stimulus_131,2,0,train
sub-01,132,stimulus_132,0,0,train
sub-01,133,stimulus_133,0,0,train
sub-01,134,stimulus_134,1,2,train
sub-01,135,stimulus_135,0,0,train
sub-01,136,stimulus_136,0,0,train
sub-01,137,stimulus_137,0,0,train
sub-01,138,stimulus_138,1,0,val
sub-01,139,stimulus_139,1,1,train
sub-01,140,stimulus_140,2,3,train
sub-01,141,stimulus_141,0,0,train
sub-01,142,stimulus_142,2,0,train
sub-01,143,stimulus_143,1,0,train
sub-01,144,stimulus_144,1,0,test
sub-01,145,stimulus_145,1,3,train
sub-01,146,stimulus_146,3,3,test
sub-01,147,stimulus_147,2,2,train
sub-01,148,stimulus_148,1,3,train
sub-01,149,stimulus_149,3,2,train
sub-01,150,stimulus_150,2,2,test
sub-01,151,stimulus_151,3,2,train
sub-01,152,stimulus_152,3,3,train
sub-01,153,stimulus_153,0,0,train
sub-01,154,stimulus_154,0,0,val
sub-01,155,stimulus_155,1,0,val
sub-01,156,stimulus_156,1,3,train
sub-01,157,stimulus_157,1,3,train
sub-01,158,stimulus_158,0,1,train
sub-01,159,stimulus_159,0,1,train
sub-01,160,stimulus_160,1,2,train
sub-01,161,stimulus_161,3,2,train
sub-01,162,stimulus_162,3,3,train
sub-01,163,stimulus_163,3,3,train
sub-01,164,stimulus_164,3,1,train
sub-01,165,stimulus_165,3,2,train
sub-01,166,stimulus_166,0,2,train
sub-01,167,stimulus_167,3,3,test
sub-01,168,stimulus_168,2,0,train
sub-01,169,stimulus_169,1,1,train
sub-01,170,stimulus_170,0,3,val
sub-01,171,stimulus_171,2,2,train
sub-01,172,stimulus_172,3,1,train
sub-01,173,stimulus_173,2,2,train
sub-01,174,stimulus_174,1,1,train
sub-01,175,stimulus_175,2,3,train
sub-01,176,stimulus_176,3,3,train
sub-01,177,stimulus_177,2,2,val
sub-01,178,stimulus_178,2,0,train
sub-01,179,stimulus_179,1,0,train
sub-01,180,stimulus_180,2,2,train
sub-01,181,stimulus_181,0,1,train
sub-01,182,stimulus_182,3,3,train
sub-01,183,stimulus_183,2,3,train
sub-01,184,stimulus_184,3,3,val
sub-01,185,stimulus_185,2,3,train
sub-01,186,stimulus_186,0,0,train
sub-01,187,stimulus_187,0,0,train
sub-01,188,stimulus_188,3,1,train
sub-01,189,stimulus_189,0,3,train
sub-01,190,stimulus_190,0,2,train
sub-01,191,stimulus_191,3,2,train
sub-01,192,stimulus_192,3,3,train
sub-01,193,stimulus_193,2,1,train
sub-01,194,stimulus_194,2,0,train
sub-01,195,stimulus_195,0,1,train
sub-01,196,stimulus_196,3,2,train
sub-01,197,stimulus_197,0,3,train
sub-01,198,stimulus_198,3,0,train
sub-01,199,stimulus_199,2,2,train
sub-01,200,stimulus_200,2,3,train
sub-01,201,stimulus_201,2,1,val
sub-01,202,stimulus_202,1,3,train
sub-01,203,stimulus_203,1,0,train
sub-01,204,stimulus_204,3,1,train
sub-01,205,stimulus_205,3,3,train
sub-01,206,stimulus_206,3,3,train
sub-01,207,stimulus_207,3,3,test
sub-01,208,stimulus_208,0,1,train
sub-01,209,stimulus_209,1,2,train
sub-01,210,stimulus_210,1,2,train
sub-01,211,stimulus_211,0,1,train
sub-01,212,stimulus_212,1,1,train
sub-01,213,stimulus_213,0,1,train
sub-01,214,stimulus_214,0,0,train
sub-01,215,stimulus_215,3,3,train
sub-01,216,stimulus_216,0,2,train
sub-01,217,stimulus_217,3,3,val
sub-01,218,stimulus_218,0,2,val
sub-01,219,stimulus_219,3,3,train
sub-01,220,stimulus_220,2,3,train
sub-01,221,stimulus_221,1,2,train
sub-01,222,stimulus_222,0,3,train
sub-01,223,stimulus_223,0,3,train
sub-01,224,stimulus_224,2,2,val
sub-01,225,stimulus_225,0,0,train
sub-01,226,stimulus_226,0,0,train
sub-01,227,stimulus_227,2,1,train
sub-01,228,stimulus_228,3,3,test
sub-01,229,stimulus_229,2,3,train
sub-01,230,stimulus_230,3,3,val
sub-01,231,stimulus_231,1,3,train
sub-01,232,stimulus_232,3,3,train
sub-01,233,stimulus_233,1,3,train
sub-01,234,stimulus_234,0,3,train
sub-01,235,stimulus_235,0,1,val
sub-01,236,stimulus_236,0,0,train
sub-01,237,stimulus_237,3,3,train
sub-01,238,stimulus_238,0,3,train
sub-01,239,stimulus_239,1,3,train
sub-01,240,stimulus_240,0,2,train
sub-01,241,stimulus_241,2,1,train
sub-01,242,stimulus_242,1,1,val
sub-01,243,stimulus_243,0,1,train
sub-01,244,stimulus_244,0,1,train
sub-01,245,stimulus_245,2,1,train
sub-01,246,stimulus_246,2,2,train
sub-01,247,stimulus_247,2,1,train
sub-01,248,stimulus_248,2,3,train
sub-01,249,stimulus_249,0,2,train
sub-01,250,stimulus_250,1,1,train
sub-01,251,stimulus_251,3,3,train
sub-01,252,stimulus_252,0,1,train
sub-01,253,stimulus_253,3,3,test
sub-01,254,stimulus_254,1,1,val
sub-01,255,stimulus_255,3,0,train
sub-01,256,stimulus_256,3,3,train
sub-01,257,stimulus_257,2,1,train
sub-01,258,stimulus_258,3,3,val
sub-01,259,stimulus_259,0,3,train
sub-01,260,stimulus_260,3,3,train
sub-01,261,stimulus_261,3,3,train
sub-01,262,stimulus_262,1,3,train
sub-01,263,stimulus_263,2,0,train
sub-01,264,stimulus_264,3,3,test
sub-01,265,stimulus_265,2,1,train
sub-01,266,stimulus_266,0,3,train
sub-01,267,stimulus_267,3,1,train
sub-01,268,stimulus_268,0,0,val
sub-01,269,stimulus_269,0,3,val
sub-01,270,stimulus_270,1,3,train
sub-01,271,stimulus_271,0,3,train
sub-01,272,stimulus_272,1,2,train
sub-01,273,stimulus_273,3,3,train
sub-01,274,stimulus_274,3,0,train
sub-01,275,stimulus_275,3,3,train
sub-01,276,stimulus_276,0,1,train
sub-01,277,stimulus_277,3,2,train
sub-01,278,stimulus_278,0,0,train
sub-01,279,stimulus_279,0,0,val
sub-01,280,stimulus_280,2,3,test
sub-01,281,stimulus_281,2,3,train
sub-01,282,stimulus_282,1,0,train
sub-01,283,stimulus_283,1,2,train
sub-01,284,stimulus_284,2,1,train
sub-01,285,stimulus_285,1,0,test
sub-01,286,stimulus_286,2,2,train
sub-01,287,stimulus_287,2,3,train
sub-01,288,stimulus_288,0,0,train
sub-01,289,stimulus_289,3,3,train
sub-01,290,stimulus_290,2,0,train
sub-01,291,stimulus_291,3,3,train
sub-01,292,stimulus_292,3,2,train
sub-01,293,stimulus_293,3,2,train
sub-01,294,stimulus_294,2,2,test
sub-01,295,stimulus_295,3,3,train
sub-01,296,stimulus_296,3,1,train
sub-01,297,stimulus_297,3,1,train
sub-01,298,stimulus_298,2,0,train
sub-01,299,stimulus_299,0,0,train
sub-01,300,stimulus_300,1,0,train
sub-01,301,stimulus_301,3,1,train
sub-01,302,stimulus_302,2,3,train
sub-01,303,stimulus_303,2,1,train
sub-01,304,stimulus_304,3,1,train
sub-01,305,stimulus_305,2,0,train
sub-01,306,stimulus_306,0,0,train
sub-01,307,stimulus_307,3,2,train
sub-01,308,stimulus_308,0,3,train
sub-01,309,stimulus_309,2,3,train
sub-01,310,stimulus_310,2,2,train
sub-01,311,stimulus_311,2,2,train
sub-01,312,stimulus_312,0,2,train
sub-01,313,stimulus_313,1,2,train
sub-01,314,stimulus_314,2,2,train
sub-01,315,stimulus_315,3,1,train
sub-01,316,stimulus_316,0,3,train
sub-01,317,stimulus_317,3,3,train
sub-01,318,stimulus_318,1,2,val
sub-01,319,stimulus_319,3,1,train
sub-01,320,stimulus_320,3,3,train
sub-01,321,stimulus_321,3,3,val
sub-01,322,stimulus_322,3,2,train
sub-01,323,stimulus_323,3,2,train
sub-01,324,stimulus_324,1,3,train
sub-01,325,stimulus_325,3,3,train
sub-01,326,stimulus_326,1,0,train
sub-01,327,stimulus_327,2,3,train
sub-01,328,stimulus_328,3,3,train
sub-01,329,stimulus_329,0,2,train
sub-01,330,stimulus_330,2,3,train
sub-01,331,stimulus_331,3,2,val
sub-01,332,stimulus_332,0,2,train
sub-01,333,stimulus_333,1,1,train
sub-01,334,stimulus_334,1,1,train
sub-01,335,stimulus_335,0,0,train
sub-01,336,stimulus_336,2,3,test
sub-01,337,stimulus_337,3,3,val
sub-01,338,stimulus_338,1,3,train
sub-01,339,stimulus_339,3,0,val
sub-01,340,stimulus_340,1,0,train
sub-01,341,stimulus_341,1,1,train
sub-01,342,stimulus_342,2,2,train
sub-01,343,stimulus_343,2,1,train
sub-01,344,stimulus_344,3,0,train
sub-01,345,stimulus_345,0,1,train
sub-01,346,stimulus_346,2,1,val
sub-01,347,stimulus_347,2,3,train
sub-01,348,stimulus_348,3,0,train
sub-01,349,stimulus_349,2,3,train
sub-01,350,stimulus_350,1,0,test
sub-01,351,stimulus_351,1,0,train
sub-01,352,stimulus_352,0,1,train
sub-01,353,stimulus_353,3,3,train
sub-01,354,stimulus_354,3,0,train
sub-01,355,stimulus_355,0,3,train
sub-01,356,stimulus_356,3,2,train
sub-01,357,stimulus_357,2,2,train
sub-01,358,stimulus_358,3,3,train
sub-01,359,stimulus_359,1,2,train
sub-01,360,stimulus_360,2,0,train
sub-01,361,stimulus_361,2,0,train
sub-01,362,stimulus_362,3,2,train
sub-01,363,stimulus_363,0,1,train
sub-01,364,stimulus_364,0,2,train
sub-01,365,stimulus_365,3,2,train
sub-01,366,stimulus_366,3,2,train
sub-01,367,stimulus_367,1,1,train
sub-01,368,stimulus_368,2,0,train
sub-01,369,stimulus_369,2,1,train
sub-01,370,stimulus_370,1,2,train
sub-01,371,stimulus_371,1,0,train
sub-01,372,stimulus_372,1,2,train
sub-01,373,stimulus_373,1,1,val
sub-01,374,stimulus_374,0,1,val
sub-01,375,stimulus_375,1,3,train
sub-01,376,stimulus_376,1,1,train
sub-01,377,stimulus_377,0,2,train
sub-01,378,stimulus_378,1,0,train
sub-01,379,stimulus_379,0,1,test
sub-01,380,stimulus_380,3,3,train
sub-01,381,stimulus_381,3,2,train
sub-01,382,stimulus_382,1,0,train
sub-01,383,stimulus_383,0,1,train
sub-01,384,stimulus_384,0,1,train
sub-01,385,stimulus_385,1,3,val
sub-01,386,stimulus_386,2,0,train
sub-01,387,stimulus_387,0,1,test
sub-01,388,stimulus_388,3,2,train
sub-01,389,stimulus_389,0,3,test
sub-01,390,stimulus_390,1,0,train
sub-01,391,stimulus_391,3,3,train
sub-01,392,stimulus_392,3,2,train
sub-01,393,stimulus_393,0,0,train
sub-01,394,stimulus_394,2,1,train
sub-01,395,stimulus_395,1,3,train
sub-01,396,stimulus_396,3,1,test
sub-01,397,stimulus_397,2,0,train
sub-01,398,stimulus_398,1,0,test
sub-01,399,stimulus_399,2,0,train
sub-01,400,stimulus_400,3,2,test
sub-01,401,stimulus_401,1,1,train
sub-01,402,stimulus_402,2,1,train
sub-01,403,stimulus_403,3,0,val
sub-01,404,stimulus_404,2,1,train
sub-01,405,stimulus_405,3,0,test
sub-01,406,stimulus_406,0,0,train
sub-01,407,stimulus_407,2,0,train
sub-01,408,stimulus_408,1,1,train
sub-01,409,stimulus_409,3,3,train
sub-01,410,stimulus_410,3,0,train
sub-01,411,stimulus_411,3,3,train
sub-01,412,stimulus_412,2,1,train
sub-01,413,stimulus_413,3,0,train
sub-01,414,stimulus_414,0,0,train
sub-01,415,stimulus_415,2,0,train
sub-01,416,stimulus_416,2,1,train
sub-01,417,stimulus_417,0,3,train
sub-01,418,stimulus_418,3,0,train
sub-01,419,stimulus_419,1,3,val
sub-01,420,stimulus_420,3,2,train
sub-01,421,stimulus_421,3,0,train
sub-01,422,stimulus_422,0,3,train
sub-01,423,stimulus_423,0,1,train
sub-01,424,stimulus_424,1,1,train
sub-01,425,stimulus_425,3,2,train
sub-01,426,stimulus_426,3,3,train
sub-01,427,stimulus_427,2,1,train
sub-01,428,stimulus_428,1,2,train
sub-01,429,stimulus_429,3,3,train
sub-01,430,stimulus_430,2,3,train
sub-01,431,stimulus_431,3,3,train
sub-01,432,stimulus_432,3,3,val
sub-01,433,stimulus_433,2,3,train
sub-01,434,stimulus_434,0,1,train
sub-01,435,stimulus_435,0,2,val
sub-01,436,stimulus_436,0,2,train
sub-01,437,stimulus_437,0,2,train
sub-01,438,stimulus_438,3,0,test
sub-01,439,stimulus_439,0,1,train
sub-01,440,stimulus_440,1,0,train
sub-01,441,stimulus_441,0,0,train
sub-01,442,stimulus_442,1,3,train
sub-01,443,stimulus_443,0,2,train
sub-01,444,stimulus_444,0,1,train
sub-01,445,stimulus_445,3,3,test
sub-01,446,stimulus_446,3,1,train
sub-01,447,stimulus_447,2,2,train
sub-01,448,stimulus_448,1,3,train
sub-01,449,stimulus_449,2,2,test
sub-01,450,stimulus_450,0,2,train
sub-01,451,stimulus_451,0,3,train
sub-01,452,stimulus_452,3,3,train
sub-01,453,stimulus_453,1,0,val
sub-01,454,stimulus_454,3,2,train
sub-01,455,stimulus_455,1,0,test
sub-01,456,stimulus_456,2,2,train
sub-01,457,stimulus_457,1,1,test
sub-01,458,stimulus_458,3,3,train
sub-01,459,stimulus_459,1,2,train
sub-01,460,stimulus_460,0,3,train
sub-01,461,stimulus_461,0,3,test
sub-01,462,stimulus_462,3,2,train
sub-01,463,stimulus_463,2,1,train
sub-01,464,stimulus_464,0,0,train
sub-01,465,stimulus_465,3,3,train
sub-01,466,stimulus_466,0,1,train
sub-01,467,stimulus_467,2,2,train
sub-01,468,stimulus_468,2,1,train
sub-01,469,stimulus_469,2,3,train
sub-01,470,stimulus_470,1,1,train
sub-01,471,stimulus_471,2,1,val
sub-01,472,stimulus_472,3,2,train
sub-01,473,stimulus_473,2,2,test
sub-01,474,stimulus_474,0,3,train
sub-01,475,stimulus_475,1,2,test
sub-01,476,stimulus_476,2,3,val
sub-01,477,stimulus_477,1,1,val
sub-01,478,stimulus_478,2,3,train
sub-01,479,stimulus_479,3,1,train
sub-01,480,stimulus_480,3,3,train
sub-01,481,stimulus_481,0,2,train
sub-01,482,stimulus_482,0,2,train
sub-01,483,stimulus_483,3,1,train
sub-01,484,stimulus_484,1,1,train
sub-01,485,stimulus_485,1,1,train
sub-01,486,stimulus_486,1,1,train
sub-01,487,stimulus_487,2,3,train
sub-01,488,stimulus_488,1,0,test
sub-01,489,stimulus_489,0,3,val
sub-01,490,stimulus_490,0,1,val
sub-01,491,stimulus_491,2,1,train
sub-01,492,stimulus_492,0,0,test
sub-01,493,stimulus_493,2,1,test
sub-01,494,stimulus_494,0,1,train
sub-01,495,stimulus_495,0,0,train
sub-01,496,stimulus_496,1,2,train
sub-01,497,stimulus_497,1,1,train
sub-01,498,stimulus_498,1,1,train
sub-01,499,stimulus_499,1,2,train
sub-01,500,stimulus_500,1,3,train
sub-01,501,stimulus_501,3,3,train
sub-01,502,stimulus_502,1,1,test
sub-01,503,stimulus_503,2,3,train
sub-01,504,stimulus_504,1,3,train
sub-01,505,stimulus_505,1,1,val
sub-01,506,stimulus_506,2,3,train
sub-01,507,stimulus_507,3,1,train
sub-01,508,stimulus_508,1,0,train
sub-01,509,stimulus_509,1,2,train
sub-01,510,stimulus_510,1,0,val
sub-01,511,stimulus_511,3,3,val
sub-01,512,stimulus_512,0,0,test
sub-01,513,stimulus_513,0,0,train
sub-01,514,stimulus_514,0,0,train
sub-01,515,stimulus_515,3,1,train
sub-01,516,stimulus_516,3,3,train
sub-01,517,stimulus_517,1,3,train
sub-01,518,stimulus_518,3,0,val
sub-01,519,stimulus_519,3,0,train
sub-01,520,stimulus_520,2,1,train
sub-01,521,stimulus_521,3,1,train
sub-01,522,stimulus_522,0,3,train
sub-01,523,stimulus_523,1,0,train
sub-01,524,stimulus_524,0,3,train
sub-01,525,stimulus_525,2,1,test
sub-01,526,stimulus_526,2,2,train
sub-01,527,stimulus_527,2,0,train
sub-01,528,stimulus_528,3,0,train
sub-01,529,stimulus_529,0,0,train
sub-01,530,stimulus_530,3,2,train
sub-01,531,stimulus_531,3,2,train
sub-01,532,stimulus_532,0,0,train
sub-01,533,stimulus_533,1,3,train
sub-01,534,stimulus_534,3,3,train
sub-01,535,stimulus_535,3,1,train
sub-01,536,stimulus_536,0,3,train
sub-01,537,stimulus_537,2,2,train
sub-01,538,stimulus_538,2,2,test
sub-01,539,stimulus_539,3,3,train
sub-01,540,stimulus_540,3,3,test
sub-01,541,stimulus_541,2,1,val
sub-01,542,stimulus_542,2,0,train
sub-01,543,stimulus_543,3,1,train
sub-01,544,stimulus_544,1,2,train
sub-01,545,stimulus_545,2,1,train
sub-01,546,stimulus_546,2,3,train
sub-01,547,stimulus_547,0,1,train
sub-01,548,stimulus_548,0,1,train
sub-01,549,stimulus_549,2,1,train
sub-01,550,stimulus_550,2,3,train
sub-01,551,stimulus_551,0,0,train
sub-01,552,stimulus_552,1,0,train
sub-01,553,stimulus_553,3,2,train
sub-01,554,stimulus_554,0,0,train
sub-01,555,stimulus_555,3,3,train
sub-01,556,stimulus_556,1,0,train
sub-01,557,stimulus_557,1,1,train
sub-01,558,stimulus_558,0,3,train
sub-01,559,stimulus_559,1,1,train
sub-01,560,stimulus_560,3,2,train
sub-01,561,stimulus_561,3,2,train
sub-01,562,stimulus_562,2,1,train
sub-01,563,stimulus_563,0,0,test
sub-01,564,stimulus_564,0,0,test
sub-01,565,stimulus_565,0,1,train
sub-01,566,stimulus_566,0,2,test
sub-01,567,stimulus_567,2,3,train
sub-01,568,stimulus_568,1,3,train
sub-01,569,stimulus_569,1,0,train
sub-01,570,stimulus_570,3,3,train
sub-01,571,stimulus_571,3,1,train
sub-01,572,stimulus_572,1,2,train
sub-01,573,stimulus_573,3,1,train
sub-01,574,stimulus_574,3,3,train
sub-01,575,stimulus_575,1,2,train
sub-01,576,stimulus_576,3,3,train
sub-01,577,stimulus_577,3,0,train
sub-01,578,stimulus_578,2,1,train
sub-01,579,stimulus_579,3,2,train
sub-01,580,stimulus_580,2,1,train
sub-01,581,stimulus_581,2,0,train
sub-01,582,stimulus_582,1,0,train
sub-01,583,stimulus_583,1,1,train
sub-01,584,stimulus_584,3,0,train
sub-01,585,stimulus_585,1,1,train
sub-01,586,stimulus_586,1,0,train
sub-01,587,stimulus_587,2,1,val
sub-01,588,stimulus_588,0,1,train
sub-01,589,stimulus_589,1,3,train
sub-01,590,stimulus_590,3,0,train
sub-01,591,stimulus_591,3,1,train
sub-01,592,stimulus_592,2,1,train
sub-01,593,stimulus_593,3,2,train
sub-01,594,stimulus_594,1,1,train
sub-01,595,stimulus_595,0,3,train
sub-01,596,stimulus_596,0,0,train
sub-01,597,stimulus_597,3,3,train
sub-01,598,stimulus_598,1,3,train
sub-01,599,stimulus_599,1,3,train
sub-01,600,stimulus_600,1,0,train
sub-01,601,stimulus_601,1,1,train
sub-01,602,stimulus_602,1,1,train
sub-01,603,stimulus_603,1,3,train
sub-01,604,stimulus_604,0,3,train
sub-01,605,stimulus_605,3,1,test
sub-01,606,stimulus_606,0,3,train
sub-01,607,stimulus_607,1,1,test
sub-01,608,stimulus_608,1,2,train
sub-01,609,stimulus_609,3,3,train
sub-01,610,stimulus_610,1,0,train
sub-01,611,stimulus_611,0,2,train
sub-01,612,stimulus_612,2,3,train
sub-01,613,stimulus_613,2,2,val
sub-01,614,stimulus_614,1,2,train
sub-01,615,stimulus_615,0,1,train
sub-01,616,stimulus_616,3,2,train
sub-01,617,stimulus_617,3,1,train
sub-01,618,stimulus_618,3,1,train
sub-01,619,stimulus_619,2,2,train
sub-01,620,stimulus_620,2,0,train
sub-01,621,stimulus_621,2,2,train
sub-01,622,stimulus_622,2,0,train
sub-01,623,stimulus_623,1,1,train
sub-01,624,stimulus_624,1,1,test
sub-01,625,stimulus_625,3,1,train
sub-01,626,stimulus_626,2,3,val
sub-01,627,stimulus_627,3,3,train
sub-01,628,stimulus_628,3,0,train
sub-01,629,stimulus_629,1,1,train
sub-01,630,stimulus_630,3,3,train
sub-01,631,stimulus_631,2,1,train
sub-01,632,stimulus_632,0,1,train
sub-01,633,stimulus_633,1,1,train
sub-01,634,stimulus_634,0,2,train
sub-01,635,stimulus_635,3,1,train
sub-01,636,stimulus_636,2,0,test
sub-01,637,stimulus_637,3,2,train
sub-01,638,stimulus_638,3,2,train
sub-01,639,stimulus_639,2,1,train
sub-01,640,stimulus_640,3,1,train
sub-01,641,stimulus_641,3,3,val
sub-01,642,stimulus_642,2,3,val
sub-01,643,stimulus_643,0,1,train
sub-01,644,stimulus_644,0,0,train
sub-01,645,stimulus_645,3,3,val
sub-01,646,stimulus_646,0,3,train
sub-01,647,stimulus_647,0,3,val
sub-01,648,stimulus_648,2,3,train
sub-01,649,stimulus_649,2,3,test
sub-01,650,stimulus_650,2,1,train
sub-01,651,stimulus_651,2,2,train
sub-01,652,stimulus_652,0,0,train
sub-01,653,stimulus_653,2,2,test
sub-01,654,stimulus_654,2,1,train
sub-01,655,stimulus_655,2,3,train
sub-01,656,stimulus_656,2,2,test
sub-01,657,stimulus_657,2,1,test
sub-01,658,stimulus_658,1,0,train
sub-01,659,stimulus_659,2,1,train
sub-01,660,stimulus_660,3,2,train
sub-01,661,stimulus_661,1,1,train
sub-01,662,stimulus_662,3,3,train
sub-01,663,stimulus_663,2,2,train
sub-01,664,stimulus_664,1,1,val
sub-01,665,stimulus_665,1,0,train
sub-01,666,stimulus_666,3,2,train
sub-01,667,stimulus_667,0,0,val
sub-01,668,stimulus_668,0,0,val
sub-01,669,stimulus_669,2,2,train
sub-01,670,stimulus_670,3,1,train
sub-01,671,stimulus_671,2,0,train
sub-01,672,stimulus_672,2,2,val
sub-01,673,stimulus_673,0,0,train
sub-01,674,stimulus_674,0,3,train
sub-01,675,stimulus_675,2,3,train
sub-01,676,stimulus_676,3,3,train
sub-01,677,stimulus_677,1,2,test
sub-01,678,stimulus_678,3,2,train
sub-01,679,stimulus_679,1,0,train
sub-01,680,stimulus_680,3,2,train
sub-01,681,stimulus_681,0,1,train
sub-01,682,stimulus_682,3,1,test
sub-01,683,stimulus_683,3,2,train
sub-01,684,stimulus_684,1,2,train
sub-01,685,stimulus_685,2,2,train
sub-01,686,stimulus_686,1,3,train
sub-01,687,stimulus_687,1,1,train
sub-01,688,stimulus_688,3,3,test
sub-01,689,stimulus_689,2,1,train
sub-01,690,stimulus_690,0,3,train
sub-01,691,stimulus_691,2,0,train
sub-01,692,stimulus_692,1,0,train
sub-01,693,stimulus_693,0,0,train
sub-01,694,stimulus_694,1,0,train
sub-01,695,stimulus_695,1,0,train
sub-01,696,stimulus_696,1,0,train
