stim_idx,stimulus_num,stimulus_name,valence_score,arousal_score,v_quartile,a_quartile,v_label
236,237,stimulus_237,7.3333,7.1111,3,3,1
237,238,stimulus_238,1.1111,6.4444,0,3,0
239,240,stimulus_240,1.4444,6.1111,0,2,0
242,243,stimulus_243,2.1111,5.5556,0,1,0
243,244,stimulus_244,2.3333,5.2222,0,1,0
248,249,stimulus_249,2.4444,5.8889,0,2,0
250,251,stimulus_251,7.0,7.0,3,3,1
251,252,stimulus_252,1.8889,5.6667,0,1,0
252,253,stimulus_253,7.2222,7.0,3,3,1
254,255,stimulus_255,7.0,4.7778,3,0,1
255,256,stimulus_256,7.4444,6.8889,3,3,1
257,258,stimulus_258,7.7778,6.7778,3,3,1
258,259,stimulus_259,1.8889,6.6667,0,3,0
259,260,stimulus_260,6.8889,6.6667,3,3,1
260,261,stimulus_261,7.0,6.4444,3,3,1
263,264,stimulus_264,7.1111,6.6667,3,3,1
265,266,stimulus_266,1.2222,7.4444,0,3,0
266,267,stimulus_267,6.7778,5.5556,3,1,1
267,268,stimulus_268,2.8889,4.0,0,0,0
268,269,stimulus_269,3.5556,7.7778,0,3,0
270,271,stimulus_271,1.3333,6.4444,0,3,0
272,273,stimulus_273,7.4444,6.5556,3,3,1
273,274,stimulus_274,7.2222,5.0,3,0,1
274,275,stimulus_275,7.4444,6.7778,3,3,1
275,276,stimulus_276,3.2222,5.7778,0,1,0
276,277,stimulus_277,6.8889,6.1111,3,2,1
277,278,stimulus_278,2.3333,4.8889,0,0,0
278,279,stimulus_279,2.0,4.7778,0,0,0
287,288,stimulus_288,1.3333,2.7778,0,0,0
288,289,stimulus_289,7.8889,6.8889,3,3,1
290,291,stimulus_291,7.7778,6.6667,3,3,1
291,292,stimulus_292,8.2222,5.8889,3,2,1
292,293,stimulus_293,7.3333,6.1111,3,2,1
294,295,stimulus_295,7.7778,6.7778,3,3,1
295,296,stimulus_296,7.3333,5.6667,3,1,1
296,297,stimulus_297,6.7778,5.7778,3,1,1
298,299,stimulus_299,2.4444,5.1111,0,0,0
300,301,stimulus_301,7.0,5.6667,3,1,1
303,304,stimulus_304,7.2222,5.3333,3,1,1
305,306,stimulus_306,2.2222,4.7778,0,0,0
306,307,stimulus_307,8.2222,6.0,3,2,1
307,308,stimulus_308,2.4444,6.7778,0,3,0
311,312,stimulus_312,3.3333,6.2222,0,2,0
314,315,stimulus_315,6.8889,5.5556,3,1,1
315,316,stimulus_316,2.7778,7.5556,0,3,0
316,317,stimulus_317,6.8889,6.4444,3,3,1
318,319,stimulus_319,7.7778,5.7778,3,1,1
319,320,stimulus_320,7.3333,7.4444,3,3,1
320,321,stimulus_321,7.8889,6.7778,3,3,1
321,322,stimulus_322,7.8889,6.1111,3,2,1
322,323,stimulus_323,7.3333,6.3333,3,2,1
324,325,stimulus_325,7.3333,6.6667,3,3,1
327,328,stimulus_328,7.7778,6.5556,3,3,1
328,329,stimulus_329,3.0,5.8889,0,2,0
330,331,stimulus_331,8.2222,6.2222,3,2,1
331,332,stimulus_332,2.6667,5.8889,0,2,0
334,335,stimulus_335,2.8889,4.2222,0,0,0
336,337,stimulus_337,6.7778,7.3333,3,3,1
338,339,stimulus_339,7.2222,4.1111,3,0,1
343,344,stimulus_344,7.5556,4.8889,3,0,1
344,345,stimulus_345,1.2222,5.2222,0,1,0
347,348,stimulus_348,7.8889,4.4444,3,0,1
351,352,stimulus_352,3.1111,5.7778,0,1,0
352,353,stimulus_353,8.1111,7.3333,3,3,1
353,354,stimulus_354,7.8889,4.6667,3,0,1
354,355,stimulus_355,1.3333,6.5556,0,3,0
355,356,stimulus_356,7.6667,5.8889,3,2,1
357,358,stimulus_358,7.2222,6.5556,3,3,1
361,362,stimulus_362,7.1111,6.3333,3,2,1
362,363,stimulus_363,2.4444,5.5556,0,1,0
363,364,stimulus_364,1.4444,5.8889,0,2,0
364,365,stimulus_365,7.2222,6.2222,3,2,1
365,366,stimulus_366,7.1111,5.8889,3,2,1
373,374,stimulus_374,2.4444,5.4444,0,1,0
376,377,stimulus_377,3.2222,6.0,0,2,0
378,379,stimulus_379,2.7778,5.6667,0,1,0
379,380,stimulus_380,6.7778,6.4444,3,3,1
380,381,stimulus_381,7.1111,6.1111,3,2,1
382,383,stimulus_383,1.1111,5.3333,0,1,0
383,384,stimulus_384,3.2222,5.6667,0,1,0
386,387,stimulus_387,1.4444,5.6667,0,1,0
387,388,stimulus_388,7.5556,6.2222,3,2,1
388,389,stimulus_389,2.1111,7.1111,0,3,0
390,391,stimulus_391,7.6667,6.7778,3,3,1
391,392,stimulus_392,8.4444,6.1111,3,2,1
392,393,stimulus_393,2.7778,4.8889,0,0,0
395,396,stimulus_396,7.0,5.7778,3,1,1
399,400,stimulus_400,7.2222,6.2222,3,2,1
402,403,stimulus_403,7.5556,4.5556,3,0,1
404,405,stimulus_405,6.7778,5.0,3,0,1
405,406,stimulus_406,1.5556,4.5556,0,0,0
408,409,stimulus_409,7.0,7.2222,3,3,1
409,410,stimulus_410,6.7778,4.5556,3,0,1
410,411,stimulus_411,7.2222,6.5556,3,3,1
412,413,stimulus_413,6.7778,3.8889,3,0,1
413,414,stimulus_414,2.0,4.6667,0,0,0
416,417,stimulus_417,2.1111,6.7778,0,3,0
417,418,stimulus_418,7.4444,3.8889,3,0,1
419,420,stimulus_420,6.7778,6.1111,3,2,1
420,421,stimulus_421,7.3333,3.1111,3,0,1
421,422,stimulus_422,2.2222,6.6667,0,3,0
422,423,stimulus_423,3.3333,5.7778,0,1,0
424,425,stimulus_425,7.8889,6.2222,3,2,1
425,426,stimulus_426,8.1111,6.8889,3,3,1
428,429,stimulus_429,7.4444,6.4444,3,3,1
430,431,stimulus_431,6.7778,6.4444,3,3,1
431,432,stimulus_432,7.0,6.4444,3,3,1
433,434,stimulus_434,1.3333,5.3333,0,1,0
434,435,stimulus_435,2.8889,6.3333,0,2,0
435,436,stimulus_436,3.3333,6.0,0,2,0
436,437,stimulus_437,1.6667,6.3333,0,2,0
437,438,stimulus_438,6.8889,5.0,3,0,1
438,439,stimulus_439,2.2222,5.5556,0,1,0
440,441,stimulus_441,1.4444,3.1111,0,0,0
442,443,stimulus_443,2.2222,6.2222,0,2,0
443,444,stimulus_444,2.5556,5.3333,0,1,0
444,445,stimulus_445,7.5556,6.5556,3,3,1
445,446,stimulus_446,6.7778,5.6667,3,1,1
449,450,stimulus_450,1.6667,6.0,0,2,0
450,451,stimulus_451,2.2222,6.6667,0,3,0
451,452,stimulus_452,7.1111,7.0,3,3,1
453,454,stimulus_454,7.1111,6.3333,3,2,1
457,458,stimulus_458,8.3333,6.8889,3,3,1
459,460,stimulus_460,2.7778,6.5556,0,3,0
460,461,stimulus_461,1.6667,6.4444,0,3,0
461,462,stimulus_462,7.2222,6.2222,3,2,1
463,464,stimulus_464,1.6667,5.1111,0,0,0
464,465,stimulus_465,7.4444,8.0,3,3,1
465,466,stimulus_466,2.8889,5.3333,0,1,0
471,472,stimulus_472,7.8889,5.8889,3,2,1
473,474,stimulus_474,1.2222,6.6667,0,3,0
478,479,stimulus_479,8.5556,5.7778,3,1,1
479,480,stimulus_480,8.6667,7.0,3,3,1
480,481,stimulus_481,2.1111,6.0,0,2,0
481,482,stimulus_482,2.3333,6.0,0,2,0
482,483,stimulus_483,7.4444,5.7778,3,1,1
488,489,stimulus_489,2.0,6.8889,0,3,0
489,490,stimulus_490,2.0,5.3333,0,1,0
491,492,stimulus_492,3.0,4.7778,0,0,0
493,494,stimulus_494,2.3333,5.3333,0,1,0
494,495,stimulus_495,3.1111,4.5556,0,0,0
500,501,stimulus_501,7.1111,7.0,3,3,1
506,507,stimulus_507,7.2222,5.2222,3,1,1
510,511,stimulus_511,6.7778,6.6667,3,3,1
511,512,stimulus_512,1.7778,4.6667,0,0,0
512,513,stimulus_513,2.6667,5.0,0,0,0
513,514,stimulus_514,1.6667,5.1111,0,0,0
514,515,stimulus_515,7.5556,5.4444,3,1,1
515,516,stimulus_516,6.7778,7.0,3,3,1
517,518,stimulus_518,7.2222,5.0,3,0,1
518,519,stimulus_519,8.1111,4.5556,3,0,1
520,521,stimulus_521,7.2222,5.4444,3,1,1
521,522,stimulus_522,2.2222,6.4444,0,3,0
523,524,stimulus_524,1.3333,6.8889,0,3,0
527,528,stimulus_528,6.7778,4.2222,3,0,1
528,529,stimulus_529,1.2222,5.1111,0,0,0
529,530,stimulus_530,8.6667,6.0,3,2,1
530,531,stimulus_531,7.1111,6.1111,3,2,1
531,532,stimulus_532,2.1111,5.0,0,0,0
533,534,stimulus_534,8.0,6.5556,3,3,1
534,535,stimulus_535,7.4444,5.4444,3,1,1
535,536,stimulus_536,2.7778,6.6667,0,3,0
538,539,stimulus_539,7.8889,7.7778,3,3,1
539,540,stimulus_540,7.4444,6.8889,3,3,1
542,543,stimulus_543,7.3333,5.2222,3,1,1
546,547,stimulus_547,3.1111,5.4444,0,1,0
547,548,stimulus_548,2.7778,5.5556,0,1,0
550,551,stimulus_551,1.4444,3.6667,0,0,0
552,553,stimulus_553,6.7778,6.2222,3,2,1
553,554,stimulus_554,2.3333,5.1111,0,0,0
554,555,stimulus_555,6.7778,6.6667,3,3,1
557,558,stimulus_558,3.1111,6.4444,0,3,0
559,560,stimulus_560,7.8889,6.3333,3,2,1
560,561,stimulus_561,7.1111,6.3333,3,2,1
562,563,stimulus_563,3.5556,5.1111,0,0,0
563,564,stimulus_564,2.6667,4.3333,0,0,0
564,565,stimulus_565,1.1111,5.6667,0,1,0
565,566,stimulus_566,2.3333,6.1111,0,2,0
569,570,stimulus_570,7.4444,6.7778,3,3,1
570,571,stimulus_571,6.8889,5.6667,3,1,1
572,573,stimulus_573,8.2222,5.4444,3,1,1
573,574,stimulus_574,8.3333,7.1111,3,3,1
575,576,stimulus_576,7.6667,6.7778,3,3,1
576,577,stimulus_577,7.4444,4.4444,3,0,1
578,579,stimulus_579,7.5556,5.8889,3,2,1
583,584,stimulus_584,7.5556,4.6667,3,0,1
587,588,stimulus_588,3.4444,5.4444,0,1,0
589,590,stimulus_590,7.2222,4.2222,3,0,1
590,591,stimulus_591,6.8889,5.4444,3,1,1
592,593,stimulus_593,7.5556,6.3333,3,2,1
594,595,stimulus_595,1.8889,6.8889,0,3,0
595,596,stimulus_596,2.2222,3.4444,0,0,0
596,597,stimulus_597,8.6667,6.6667,3,3,1
603,604,stimulus_604,2.5556,7.0,0,3,0
604,605,stimulus_605,7.0,5.7778,3,1,1
605,606,stimulus_606,1.2222,7.0,0,3,0
608,609,stimulus_609,6.7778,6.8889,3,3,1
610,611,stimulus_611,3.5556,6.2222,0,2,0
614,615,stimulus_615,2.3333,5.3333,0,1,0
615,616,stimulus_616,7.0,5.8889,3,2,1
616,617,stimulus_617,7.5556,5.3333,3,1,1
617,618,stimulus_618,6.7778,5.4444,3,1,1
624,625,stimulus_625,6.8889,5.7778,3,1,1
626,627,stimulus_627,8.3333,6.8889,3,3,1
627,628,stimulus_628,7.2222,4.2222,3,0,1
629,630,stimulus_630,7.5556,6.4444,3,3,1
631,632,stimulus_632,2.7778,5.5556,0,1,0
633,634,stimulus_634,1.2222,6.3333,0,2,0
634,635,stimulus_635,8.2222,5.3333,3,1,1
636,637,stimulus_637,7.2222,5.8889,3,2,1
637,638,stimulus_638,7.5556,6.1111,3,2,1
639,640,stimulus_640,6.8889,5.6667,3,1,1
640,641,stimulus_641,7.2222,6.6667,3,3,1
642,643,stimulus_643,1.4444,5.7778,0,1,0
643,644,stimulus_644,1.2222,5.1111,0,0,0
644,645,stimulus_645,7.6667,6.7778,3,3,1
645,646,stimulus_646,1.1111,6.5556,0,3,0
646,647,stimulus_647,1.2222,7.1111,0,3,0
651,652,stimulus_652,2.2222,4.7778,0,0,0
659,660,stimulus_660,7.6667,6.3333,3,2,1
661,662,stimulus_662,6.7778,6.5556,3,3,1
665,666,stimulus_666,8.3333,6.1111,3,2,1
666,667,stimulus_667,1.4444,4.8889,0,0,0
667,668,stimulus_668,3.5556,5.1111,0,0,0
669,670,stimulus_670,7.1111,5.7778,3,1,1
672,673,stimulus_673,2.6667,5.0,0,0,0
673,674,stimulus_674,1.5556,6.7778,0,3,0
675,676,stimulus_676,7.3333,7.4444,3,3,1
677,678,stimulus_678,7.2222,6.2222,3,2,1
679,680,stimulus_680,7.4444,5.8889,3,2,1
680,681,stimulus_681,2.0,5.5556,0,1,0
681,682,stimulus_682,7.7778,5.6667,3,1,1
682,683,stimulus_683,7.7778,6.1111,3,2,1
687,688,stimulus_688,7.6667,6.5556,3,3,1
689,690,stimulus_690,2.7778,6.7778,0,3,0
692,693,stimulus_693,3.5556,4.0,0,0,0
697,698,stimulus_698,3.5556,6.7778,0,3,0
698,699,stimulus_699,1.3333,5.8889,0,2,0
701,702,stimulus_702,7.5556,5.5556,3,1,1
705,706,stimulus_706,2.3333,6.5556,0,3,0
706,707,stimulus_707,2.7778,3.7778,0,0,0
707,708,stimulus_708,7.6667,5.8889,3,2,1
711,712,stimulus_712,6.7778,6.7778,3,3,1
712,713,stimulus_713,1.7778,4.0,0,0,0
714,715,stimulus_715,7.1111,4.8889,3,0,1
716,717,stimulus_717,1.6667,5.6667,0,1,0
718,719,stimulus_719,3.3333,7.0,0,3,0
719,720,stimulus_720,3.0,5.3333,0,1,0
723,724,stimulus_724,2.6667,5.8889,0,2,0
724,725,stimulus_725,6.7778,5.7778,3,1,1
726,727,stimulus_727,2.0,5.6667,0,1,0
729,730,stimulus_730,2.5556,6.2222,0,2,0
735,736,stimulus_736,2.7778,6.0,0,2,0
738,739,stimulus_739,7.4444,6.3333,3,2,1
742,743,stimulus_743,7.1111,5.0,3,0,1
743,744,stimulus_744,1.7778,6.1111,0,2,0
744,745,stimulus_745,6.8889,7.0,3,3,1
745,746,stimulus_746,1.1111,5.6667,0,1,0
748,749,stimulus_749,8.0,8.4444,3,3,1
749,750,stimulus_750,1.0,7.2222,0,3,0
750,751,stimulus_751,7.8889,5.4444,3,1,1
752,753,stimulus_753,8.1111,8.1111,3,3,1
755,756,stimulus_756,1.5556,5.6667,0,1,0
756,757,stimulus_757,6.8889,5.5556,3,1,1
758,759,stimulus_759,2.3333,5.6667,0,1,0
759,760,stimulus_760,2.4444,6.1111,0,2,0
761,762,stimulus_762,6.7778,6.3333,3,2,1
765,766,stimulus_766,7.1111,6.2222,3,2,1
766,767,stimulus_767,2.6667,5.7778,0,1,0
767,768,stimulus_768,3.3333,5.2222,0,1,0
768,769,stimulus_769,7.3333,5.3333,3,1,1
770,771,stimulus_771,7.2222,5.4444,3,1,1
771,772,stimulus_772,7.6667,7.3333,3,3,1
772,773,stimulus_773,7.1111,5.4444,3,1,1
774,775,stimulus_775,6.7778,5.8889,3,2,1
775,776,stimulus_776,1.8889,6.5556,0,3,0
776,777,stimulus_777,1.1111,6.8889,0,3,0
777,778,stimulus_778,2.4444,5.6667,0,1,0
778,779,stimulus_779,7.0,4.1111,3,0,1
779,780,stimulus_780,7.3333,5.6667,3,1,1
780,781,stimulus_781,1.6667,4.5556,0,0,0
785,786,stimulus_786,7.6667,5.0,3,0,1
787,788,stimulus_788,7.7778,6.4444,3,3,1
788,789,stimulus_789,7.4444,6.2222,3,2,1
789,790,stimulus_790,1.2222,6.5556,0,3,0
791,792,stimulus_792,1.5556,6.1111,0,2,0
794,795,stimulus_795,7.6667,5.6667,3,1,1
797,798,stimulus_798,7.8889,7.4444,3,3,1
798,799,stimulus_799,7.3333,5.8889,3,2,1
799,800,stimulus_800,7.3333,5.5556,3,1,1
802,803,stimulus_803,3.3333,4.1111,0,0,0
803,804,stimulus_804,2.1111,4.2222,0,0,0
807,808,stimulus_808,3.1111,7.0,0,3,0
808,809,stimulus_809,3.1111,4.5556,0,0,0
810,811,stimulus_811,3.0,6.0,0,2,0
812,813,stimulus_813,1.8889,6.3333,0,2,0
819,820,stimulus_820,8.4444,7.2222,3,3,1
820,821,stimulus_821,2.5556,4.2222,0,0,0
825,826,stimulus_826,1.7778,3.8889,0,0,0
826,827,stimulus_827,3.1111,6.0,0,2,0
827,828,stimulus_828,7.5556,6.8889,3,3,1
828,829,stimulus_829,1.7778,5.6667,0,1,0
829,830,stimulus_830,7.6667,6.0,3,2,1
831,832,stimulus_832,6.7778,7.2222,3,3,1
833,834,stimulus_834,3.2222,6.3333,0,2,0
835,836,stimulus_836,1.1111,4.3333,0,0,0
837,838,stimulus_838,7.3333,6.4444,3,3,1
838,839,stimulus_839,2.3333,5.3333,0,1,0
839,840,stimulus_840,6.8889,6.8889,3,3,1
840,841,stimulus_841,2.1111,4.8889,0,0,0
841,842,stimulus_842,7.2222,7.4444,3,3,1
844,845,stimulus_845,3.3333,7.1111,0,3,0
847,848,stimulus_848,7.5556,5.4444,3,1,1
848,849,stimulus_849,2.5556,3.7778,0,0,0
849,850,stimulus_850,2.8889,3.2222,0,0,0
854,855,stimulus_855,2.8889,5.4444,0,1,0
855,856,stimulus_856,2.3333,6.0,0,2,0
856,857,stimulus_857,2.2222,4.5556,0,0,0
857,858,stimulus_858,6.8889,5.7778,3,1,1
858,859,stimulus_859,7.2222,5.7778,3,1,1
860,861,stimulus_861,1.7778,6.0,0,2,0
862,863,stimulus_863,3.1111,4.7778,0,0,0
864,865,stimulus_865,1.7778,6.0,0,2,0
865,866,stimulus_866,1.0,7.1111,0,3,0
867,868,stimulus_868,7.2222,5.3333,3,1,1
868,869,stimulus_869,2.1111,7.3333,0,3,0
873,874,stimulus_874,1.8889,5.4444,0,1,0
875,876,stimulus_876,1.6667,3.1111,0,0,0
876,877,stimulus_877,1.8889,5.1111,0,0,0
879,880,stimulus_880,6.7778,5.0,3,0,1
883,884,stimulus_884,7.3333,5.6667,3,1,1
885,886,stimulus_886,2.7778,6.1111,0,2,0
886,887,stimulus_887,1.6667,6.7778,0,3,0
887,888,stimulus_888,2.8889,5.1111,0,0,0
888,889,stimulus_889,2.3333,6.1111,0,2,0
891,892,stimulus_892,7.0,5.8889,3,2,1
893,894,stimulus_894,7.1111,6.3333,3,2,1
895,896,stimulus_896,7.1111,6.0,3,2,1
896,897,stimulus_897,7.6667,6.5556,3,3,1
897,898,stimulus_898,7.7778,5.6667,3,1,1
898,899,stimulus_899,7.0,7.2222,3,3,1
903,904,stimulus_904,6.7778,4.1111,3,0,1
904,905,stimulus_905,1.6667,5.4444,0,1,0
905,906,stimulus_906,6.8889,6.0,3,2,1
908,909,stimulus_909,3.0,4.8889,0,0,0
910,911,stimulus_911,2.3333,4.1111,0,0,0
913,914,stimulus_914,2.4444,5.4444,0,1,0
914,915,stimulus_915,8.0,6.5556,3,3,1
915,916,stimulus_916,6.7778,6.8889,3,3,1
917,918,stimulus_918,8.0,5.8889,3,2,1
918,919,stimulus_919,7.2222,6.5556,3,3,1
919,920,stimulus_920,6.8889,6.7778,3,3,1
920,921,stimulus_921,7.7778,7.6667,3,3,1
922,923,stimulus_923,8.7778,7.1111,3,3,1
924,925,stimulus_925,1.6667,6.1111,0,2,0
925,926,stimulus_926,2.2222,4.8889,0,0,0
926,927,stimulus_927,7.6667,5.6667,3,1,1
928,929,stimulus_929,2.7778,5.4444,0,1,0
930,931,stimulus_931,8.1111,6.2222,3,2,1
931,932,stimulus_932,8.1111,6.8889,3,3,1
933,934,stimulus_934,7.1111,5.4444,3,1,1
934,935,stimulus_935,2.1111,7.6667,0,3,0
935,936,stimulus_936,6.7778,6.3333,3,2,1
936,937,stimulus_937,1.8889,5.7778,0,1,0
939,940,stimulus_940,2.2222,5.3333,0,1,0
942,943,stimulus_943,7.5556,5.0,3,0,1
943,944,stimulus_944,7.0,6.6667,3,3,1
947,948,stimulus_948,2.5556,6.0,0,2,0
953,954,stimulus_954,6.7778,6.0,3,2,1
954,955,stimulus_955,3.0,5.0,0,0,0
955,956,stimulus_956,2.7778,3.3333,0,0,0
957,958,stimulus_958,1.7778,5.3333,0,1,0
959,960,stimulus_960,7.0,5.8889,3,2,1
960,961,stimulus_961,7.6667,6.7778,3,3,1
961,962,stimulus_962,3.2222,7.1111,0,3,0
962,963,stimulus_963,7.7778,6.6667,3,3,1
963,964,stimulus_964,7.0,6.6667,3,3,1
964,965,stimulus_965,1.7778,6.4444,0,3,0
965,966,stimulus_966,7.4444,5.3333,3,1,1
966,967,stimulus_967,6.8889,5.6667,3,1,1
967,968,stimulus_968,2.5556,4.7778,0,0,0
970,971,stimulus_971,1.6667,6.8889,0,3,0
971,972,stimulus_972,8.1111,6.5556,3,3,1
972,973,stimulus_973,2.8889,6.7778,0,3,0
974,975,stimulus_975,3.2222,5.1111,0,0,0
976,977,stimulus_977,2.7778,6.1111,0,2,0
977,978,stimulus_978,7.3333,5.7778,3,1,1
979,980,stimulus_980,6.8889,6.6667,3,3,1
980,981,stimulus_981,6.8889,6.1111,3,2,1
981,982,stimulus_982,7.1111,7.0,3,3,1
988,989,stimulus_989,3.2222,4.0,0,0,0
990,991,stimulus_991,1.0,3.6667,0,0,0
